KOI,,70.05,6850504,19.57709,54968.2142,94,12.498,19.179867,42.338718,12,3,960,581
KOI,,72.01,11904151,0.8374908,54964.5742,195,10.961,19.045292,50.241299,23,4,251,656
KOI,,72.02,11904151,45.29406,54971.678,495,10.961,19.045292,50.241299,23,4,251,656
KOI,,74.01,6889235,5.188668,54958.8796,665,10.96,19.888283,42.38847,4,2,103,312
KOI,,75.01,7199397,105.88531,54989.9699,1628,10.775,19.433149,42.728481,8,1,138,706
KOI,,76.01,9955262,77.47848,54987.7098,1294,10.143,19.569466,46.82214,14,3,1012,294
KOI,,80.01,9552608,9.2505968,54968.40558,1036,11.31,20.035837,46.10434,10,3,71,367
KOI,,81.01,8823868,23.876191,54976.07075,1558,11.409,19.585716,45.01849,14,1,448,448
KOI,,82.01,10187017,16.145685,54967.75344,951,11.492,18.765516,47.208031,22,3,858,477
KOI,,82.02,10187017,10.311732,54967.0798,267,11.492,18.765516,47.208031,22,3,858,477
KOI,,82.03,10187017,27.45362,54978.0258,159,11.492,18.765516,47.208031,22,3,858,477
KOI,,82.04,10187017,7.07134,54972.9875,78,11.492,18.765516,47.208031,22,3,858,477
KOI,,82.05,10187017,5.286978,54968.8466,42,11.492,18.765516,47.208031,22,3,858,477
KOI,,84.01,2571238,9.287009,54968.992,696,11.898,19.361387,37.851799,2,1,866,272
KOI,,85.01,5866724,5.859933,54965.03952,324,11.018,19.245913,41.15118,7,1,293,928
KOI,,85.02,5866724,2.1549189,54966.4963,98,11.018,19.245913,41.15118,7,1,293,928
KOI,,85.03,5866724,8.131146,54970.9953,115,11.018,19.245913,41.15118,7,1,293,928
KOI,,87.01,10593626,289.8622,54966.6984,490,11.664,19.281166,47.88446,18,4,617,176
KOI,,88.01,7700871,2.5898322,54966.88203,311,11.871,19.821318,43.332722,9,4,475,575
KOI,,89.01,8056665,84.68895,54983.5651,342,11.642,19.988077,43.81427,10,1,763,201
KOI,,89.02,8056665,207.6035,55122.8688,479,11.642,19.988077,43.81427,10,1,763,201
KOI,,90.01,9210823,0.82820711,54968.72095,431,11.743,19.229437,45.609001,18,2,117,489
KOI,,92.01,7941200,65.70462,54970.4425,653,11.667,18.891653,43.788219,16,2,134,757
KOI,,94.01,6462863,22.343001,54965.74047,5490,12.205,19.822205,41.891121,4,2,186,1111
KOI,,94.02,6462863,10.423707,54971.00718,771,12.205,19.822205,41.891121,4,2,186,1111
KOI,,94.03,6462863,54.31993,54994.23998,1899,12.205,19.822205,41.891121,4,2,186,1111
KOI,,94.04,6462863,3.743245,54964.6139,129,12.205,19.822205,41.891121,4,2,186,1111
KOI,,97.01,5780885,4.88548917,54967.27608,7489,12.885,19.238768,41.089809,7,1,298,836
KOI,,98.01,10264660,6.7901235,54971.08734,2255,12.128,19.180588,47.33305,18,3,506,1006
KOI,,99.01,8505215,579.931,54973.0453,1816,12.96,19.695621,44.53112,9,3,1023,103
KOI,,100.01,4055765,9.966447,54974.1508,1591,12.598,19.411861,39.19949,2,2,132,839
KOI,,102.01,8456679,1.7351365,54968.05911,920,12.566,19.980316,44.435749,10,1,947,738
KOI,,102.02,8456679,4.068545,54965.2638,73,12.566,19.980316,44.435749,10,1,947,738
KOI,,103.01,2444412,14.910755,54974.33981,861,12.593,19.445557,37.751591,2,4,735,982
KOI,,104.01,10318874,2.5080585,54967.9997,1539,12.895,18.746317,47.497131,22,3,544,509
KOI,,105.01,8711794,8.981008,54969.64871,1077,12.87,19.929136,44.85791,10,2,678,921
KOI,,106.01,10489525,1.6122513,54964.85045,409,12.775,19.890289,47.672081,15,3,644,1066
KOI,,107.01,11250587,7.256999,54967.02111,466,12.702,19.655678,48.982361,20,1,234,638
KOI,,108.01,4914423,15.965349,54975.1763,482,12.287,19.265636,40.064529,7,4,941,541
KOI,,108.02,4914423,179.601,55128.3304,1234,12.287,19.265636,40.064529,7,4,941,541
KOI,,109.01,4752451,6.4149767,54965.8614,461,12.385,19.563618,39.803928,3,1,503,446
KOI,,110.01,9450647,9.940678,54968.21471,529,12.663,18.970381,46.063831,17,1,861,304
KOI,,111.01,6678383,11.427512,54970.6139,496,12.596,19.173641,42.166779,12,3,819,489
KOI,,111.02,6678383,23.66834,54965.7129,455,12.596,19.173641,42.166779,12,3,819,489
KOI,,111.03,6678383,51.75627,55104.0832,598,12.596,19.173641,42.166779,12,3,819,489
KOI,,111.04,6678383,103.627,55259.373,56,12.596,19.173641,42.166779,12,3,819,489
KOI,,112.01,10984090,51.07931,55018.1795,768,12.772,19.709913,48.49556,20,1,438,15
