,tic_id,RA,Dec,Tmag,Period,Epoc,Transit_Depth,Duration,Sectors,Camera,CCD,star_rad,star_mass,teff,logg,SN,Qingress
262,138221816,293.860871599,41.3873937834,12.9783,0.978489,1683.795033,0.00099,0.24865362468000002,15,2,3,23.3227,,4407.0,,9.941,0.24573
277,138296341,293.772267725,41.6475160053,13.283,0.111128,1683.485527,0.01421,0.00134909392,15,2,3,1.81699,0.97,5502.72,3.90614,9.59033,0.17762
347,138429730,294.017438305,41.6083970842,10.7124,0.477794,1683.522456,0.00019,0.13005074885999998,15,2,3,10.8697,,4653.34,,12.68162,0.10529
349,138429773,293.929715501,41.6028585763,11.9182,0.454878,1683.475304,0.11219,0.11884142628,15,2,3,1.47908,1.12,6033.33,4.1473,51.87468,0.40644
373,138430234,293.926975744,41.3896041573,12.2859,0.677794,1683.635882,0.00248,0.09888336666,15,2,3,12.8528,,4798.0,,9.84418,0.19101
381,138430381,293.888520998,41.3367927622,13.313,5.774396,1686.924242,0.00864,0.1556199722,15,2,3,6.07899,,4854.0,,20.08568,0.22612
383,138430438,293.9642,41.3188,8.761,5.777514,1686.88659,0.12434,0.23797580165999999,15,2,3,0.609,0.632,,4.66991,92.11034,0.26496
384,138430445,293.907604339,41.3180008049,12.0383,5.777514,1686.885793,1.03034,0.2380335768,15,2,3,1.60732,1.02,5702.0,4.03446,201.7003,0.30911
386,138430485,293.874460121,41.3165103271,13.1276,5.777514,1686.883684,0.01458,0.2175234021,15,2,3,13.3044,,4690.0,,29.77409,0.20866
387,138430541,293.930310558,41.3097199601,12.6504,0.250711,1683.683908,0.00307,0.03549817049,15,2,3,2.12336,0.93,5358.0,3.7525,14.49431,0.12295
443,138431673,294.110480495,41.1359980481,12.6223,0.8396,1684.204878,0.02147,0.103170048,15,2,3,12.1466,,4735.0,,52.16089,0.48262
444,138431696,294.148428653,41.1464218546,12.7542,12.989712,1685.925965,0.00142,0.12561051504,15,2,3,2.38215,1.11,6004.0,3.72945,9.23962,0.0639
445,138431700,294.075552805,41.1477385603,10.887,0.8396,1684.211203,0.00468,0.089367024,15,2,3,22.3116,,4178.48,,21.8331,0.37815
448,138431721,294.048089812,41.1855137193,13.4867,0.8396,1684.21123,0.00986,0.059771124,15,2,3,1.59567,1.46,6788.59,4.19653,9.39625,0.18186
462,138431923,294.16036864,41.3109630905,11.6365,5.674257,1688.670176,0.0265,0.09220667625000001,15,2,3,11.6138,,4808.0,,20.88694,0.20184
467,138432150,294.036602,41.357048,10.451,0.880572,1683.838169,0.00289,0.09252170004,15,2,3,,,,,9.77146,0.19004
483,138635562,294.16265997,41.4937488692,13.2092,0.111128,1683.470307,0.00262,0.0010290452799999999,15,2,3,,,5417.43,,9.97841,0.19985
510,138636097,294.149753631,41.6432903308,11.5876,0.620155,1684.015345,0.00596,0.13693642555000002,15,2,3,9.33664,,4779.01,,28.98141,0.75405
526,138636447,294.031749638,41.7830059737,10.692,0.359739,1683.770773,0.14237,0.045064504529999994,15,2,3,11.3343,,5061.96,,25.60709,0.19196
529,138636502,294.050144205,41.8546243644,12.2313,0.359739,1683.769729,0.02095,0.0560113623,15,2,3,1.03897,1.066,5881.48,4.43262,32.99369,0.39733
534,138636700,294.070663624,41.9031190977,13.2012,0.288211,1683.72419,0.02112,0.048733597989999995,15,2,3,1.36386,0.99,5607.42,4.16417,31.92655,-0.02016
536,138636710,294.105454826,41.9133670554,13.495,0.288211,1683.723778,0.00221,0.04364379173,15,2,3,2.25175,1.31,6450.54,3.8503,29.92116,0.04121
548,138636929,294.232488988,41.8437658307,10.7505,0.844461,1683.673067,0.00223,0.09898771842000001,15,2,3,15.4037,,4676.97,,16.38618,0.12059
586,138637622,294.192659442,41.5906978544,13.1232,0.32085,1683.620178,0.00204,0.060422472,15,2,3,11.2383,,4836.0,,11.87814,-0.06373
595,138637911,294.301437746,41.5153005741,13.4812,0.4521,1683.748983,0.04437,0.11230164000000001,15,2,3,2.9286,1.54,6989.96,3.69227,55.08822,0.39178
628,138638594,294.221357225,41.2951219206,11.3725,0.423628,1683.743377,0.00208,0.23620650023999998,15,2,3,1.70737,1.49,6873.0,4.1466,69.57506,-1.23296
631,138638635,294.25772282,41.2477081089,13.4137,0.381961,1683.744773,0.00609,0.03406328198,15,2,3,3.48494,,4900.18,,15.75365,0.16945
634,138638657,294.214414205,41.2371492091,12.4206,0.377794,1683.515629,0.00515,0.09690038306,15,2,3,10.0484,,4578.0,,25.61479,0.25665
635,138638694,294.268466606,41.2213358466,13.2634,0.763211,1684.138616,0.0023,0.0703680542,15,2,3,11.3382,,4796.65,,10.11356,0.24042
641,138638792,294.297583699,41.1692819398,12.5217,1.253489,1684.443343,0.03135,0.23059183644000003,15,2,3,4.25429,,4824.2,,44.75497,0.50414
642,138638797,294.318596652,41.1610863273,12.5439,1.253489,1684.44429,0.08987,0.24797772887000002,15,2,3,0.542001,0.538004,3520.0,4.70085,58.31017,0.50748
647,138638854,294.294588577,41.1159025037,7.9746,1.253489,1684.443456,0.02145,0.19812647134000003,15,2,3,56.7125,,3552.0,,35.37355,0.3981
649,138638902,294.300618214,41.1030356301,13.4318,0.561128,1683.852959,0.023,0.13311639543999998,15,2,3,1.11885,1.11,6007.76,4.38585,70.87603,0.44312
651,138638948,294.237580329,41.1015113892,12.4259,0.561822,1683.830782,0.00376,0.09285794016000001,15,2,3,1.56149,1.5,6887.0,4.22708,22.0686,0.04907
657,138639088,294.270672526,41.0408520523,12.7357,0.690294,1683.672857,0.0032,0.09245797836,15,2,3,1.23154,1.14,6078.0,4.31408,9.09057,0.14017
660,138639116,294.215829716,41.0268109897,12.5752,0.2646,1683.455493,0.00186,0.042523866,15,2,3,12.9442,,4768.0,,13.28584,0.12081
665,138639226,294.260776235,41.0040523895,12.9496,8.761126,1684.710035,0.02855,0.21017941274000002,15,2,3,24.6635,,3952.0,,62.58672,0.32069
666,138639253,294.319931329,40.9879435296,11.735,8.761126,1684.714075,0.22405,0.21219447172,15,2,3,35.1751,,3971.77,,67.2689,0.35735
667,138639275,294.266552185,40.9788248644,11.8274,8.761126,1684.71322,0.34345,0.21096791408,15,2,3,0.733137,0.634,4051.47,4.50979,65.86241,0.36428
669,138639282,294.178501407,40.9703725288,11.3963,1.563211,1684.90703,0.0027,0.18277063011999997,15,2,3,1.90496,1.73,7503.0,4.11634,23.67166,0.4398
678,138639474,294.798929437,41.9373993399,12.2677,0.992378,1683.555095,0.00086,0.13756343835999998,15,2,3,1.56492,0.99,5584.0,4.04472,9.09645,0.24499
682,138639548,294.867174371,41.8902787285,13.4362,10.077622,1686.449361,0.13575,0.20588581746,15,2,3,0.919367,0.99,5588.0,4.50673,69.47408,0.40287
683,138639550,294.891577447,41.8854862462,13.2219,1.022239,1684.335758,0.00516,0.10194789547,15,2,3,2.04995,1.16,6137.79,3.87904,9.3633,0.15998
703,138639974,294.888115389,41.6843642118,11.937,0.247933,1683.623793,0.00603,0.06120474038,15,2,3,1.25122,1.308,6449.68,4.36001,34.27418,0.4479
752,138722957,294.874140251,41.315853816,13.0096,0.292378,1683.550622,0.00146,0.0477307085,15,2,3,11.0449,,4916.67,,21.39006,0.02281
753,138722958,294.84100676,41.2776704961,11.958,0.687517,1683.655226,0.00908,0.06193153136,15,2,3,2.87595,1.56,7058.0,3.71363,17.17,0.24969
786,138723554,294.910544051,41.0053990554,13.229,0.62085,1684.017276,0.001,0.1479299295,15,2,3,1.90549,1.51,6924.32,4.05703,19.12317,0.62658
788,138723576,294.786057394,40.9788157887,12.1357,0.621544,1683.98235,0.11932,0.15312357984,15,2,3,0.827779,0.954,5458.65,4.58179,66.96491,0.42424
789,138723580,294.801626379,40.9051361705,13.2159,0.621544,1683.987254,0.00372,0.10561897192,15,2,3,1.81898,1.11,6012.88,3.96374,13.9519,0.16705
790,138723582,294.830220406,40.8997005783,10.247,0.621544,1683.983267,0.01183,0.15816430167999998,15,2,3,4.41226,1.8,7668.9,3.40402,61.29017,0.44484
791,138723591,294.865882716,40.8974408319,12.3908,0.621544,1683.982239,0.19484,0.15178726024,15,2,3,10.8496,,4816.35,,68.35224,0.42724
814,138724307,294.776470913,40.7497429158,12.3571,0.361822,1683.749698,0.01444,0.18543377499999997,15,2,3,2.12577,1.38,6607.26,3.92291,111.16129,-1.24565
816,138724368,294.841315496,40.7382948999,13.2142,0.487517,1683.693994,0.01064,0.09055628275,15,2,3,1.58375,1.04,5809.04,4.05573,33.24165,0.41092
817,138724388,294.921268971,40.7280939093,12.7676,0.487517,1683.691767,0.0057,0.09660149354999999,15,2,3,1.33548,1.33,6493.0,4.31064,53.35244,0.45647
851,138725380,294.829334247,40.4820300408,13.4659,0.618072,1711.965246,0.00687,0.08182037135999999,15,2,3,1.27102,0.95,5434.7,4.20748,11.78661,0.06102
853,138725390,294.887939872,40.4768019738,12.5933,0.411128,1711.592395,0.00116,0.08171991256,15,2,3,8.29908,,4643.0,,11.87391,0.05219
854,138725406,294.907301409,40.4645714842,13.0752,0.618072,1711.965041,0.03904,0.08457079176,15,2,3,1.40761,1.21,6241.92,4.22389,12.98696,0.0862
885,138726026,294.998010063,40.6010830815,13.3254,0.286822,1711.631263,0.00426,0.0704434832,15,2,3,7.56065,,4998.07,,18.22049,0.30638
901,138726428,294.945837082,40.7293757844,12.7581,0.363211,1711.532934,0.00521,0.0641067415,15,2,3,1.32382,1.12,6028.64,4.24363,15.9327,0.18837
906,138726506,295.032267385,40.7666005095,11.691,1.782484,1712.355736,0.00794,0.15225978327999998,15,2,3,1.97222,1.6,7172.0,4.05228,9.1686,0.18312
937,138961350,294.950399881,41.0147510659,12.0057,0.6896,1711.883814,0.05944,0.0022480959999999998,15,2,3,11.6474,,4874.8,,25.08671,0.10659
992,138962751,294.998352033,41.4604685412,10.9941,1.330572,1712.00101,0.00806,0.10656551148,15,2,3,47.3343,,4051.0,,11.61804,0.18082
1008,138963118,295.02137384,41.5557615315,9.8244,11.448869,1716.032424,0.00834,0.17997622068000002,15,2,3,19.0464,,4453.87,,9.41879,0.17025
1036,138963724,295.040983029,41.7534092381,11.6437,0.072933,1683.489885,0.00362,0.007657964999999999,15,2,3,16.0945,,4579.0,,14.56102,0.16286
1042,138963771,295.015323295,41.7781426325,12.9689,0.072933,1683.484159,0.00378,0.00166943637,15,2,3,1.34689,1.24,6309.0,4.27283,9.00591,0.23178
1060,138964255,295.137250639,41.9432213411,13.3003,13.397696,1694.514748,0.00462,0.22213379968000002,15,2,3,1.07205,0.99,5592.94,4.37327,9.22348,0.20288
1171,138966644,295.11754441,41.0726270689,13.2201,0.478489,1683.770522,0.00168,0.06183034858,15,2,3,12.9138,,4751.25,,13.73717,0.0746
1174,138966668,295.190806689,41.0635791541,10.9792,1.011128,1683.526289,0.03061,0.17723051584,15,2,3,7.81231,,4913.0,,16.99244,0.12491
1175,138966673,295.137629459,41.0617729407,12.195,1.011128,1683.527834,0.00356,0.15077940736,15,2,3,11.7911,,4829.6,,16.05459,0.02678
1176,138966686,295.123627739,41.0529752074,12.6535,1.011128,1683.528894,0.0055,0.16055701511999998,15,2,3,2.38511,1.12,6035.92,3.73227,15.96601,0.08045
1181,138966713,295.158121681,41.0303443404,9.53175,1.011128,1683.537502,0.00161,0.16467230608,15,2,3,1.74695,1.605,7179.22,4.15898,14.25496,-0.01516
1196,138967091,295.166221255,40.9353552029,12.9438,0.357655,1683.565024,0.08574,0.17009714145000002,15,2,3,1.77571,0.95,5443.32,3.91704,112.66407,-1.30274
1236,138967876,295.191822232,40.6102355452,13.2062,3.792926,1713.504833,0.01855,0.10904662250000001,15,2,3,1.76871,1.33,6504.87,4.0666,31.87031,0.20117
1238,138967906,295.150686865,40.6026303742,11.9,3.79092,1713.506229,0.25084,0.13370574840000002,15,2,3,30.4297,,4190.39,,59.2847,0.42056
1239,138967920,295.217436,40.59225,13.117,3.79092,1713.505905,0.01747,0.13078674,15,2,3,,,,,46.07595,0.363
1254,138968197,295.218153086,40.4876624559,12.5025,0.147933,1711.477643,0.00865,0.03490922934,15,2,3,12.7523,,4868.0,,16.52296,-0.49664
1255,138968207,295.079295,40.484109,13.468,0.590989,1711.933733,0.00263,0.05458374404,15,2,3,,,5011.86,,11.43529,0.19805
1257,138968231,295.219078452,40.4749918143,13.4147,0.590989,1711.93108,0.00625,0.05490878799,15,2,3,17.2327,,4466.0,,10.56793,0.22078
1284,138968823,295.185258418,40.3069257783,9.43431,0.121544,1711.473946,0.0031,0.016588325119999997,15,2,3,2.4893,2.211,8800.0,3.9905,13.3437,0.12643
1291,138968975,295.153516414,40.254790061,13.143,0.221544,1711.52379,0.01024,0.09297537048,15,2,3,6.21636,,4956.29,,39.62291,-0.84343
1321,138969635,295.233258592,40.1516958724,13.0279,3.518049,1713.832827,0.00258,0.11602525602000001,15,2,3,2.71752,,5323.95,,10.61746,0.20841
1336,138969985,295.321051118,40.1810693106,10.2012,0.6896,1711.884005,0.02527,0.003303184,15,2,3,39.1616,,4104.45,,11.17078,0.2699
1338,138970059,295.33900743,40.1833946833,12.0149,0.416683,1711.832445,0.01073,0.03529721693,15,2,3,11.7617,,4671.67,,10.98706,0.22777
1377,139109347,295.330472875,40.2421729063,12.74,6.274724,1713.898489,0.00412,0.1013367926,15,2,3,1.2963,1.04,5811.0,4.22969,10.93019,0.08003
1403,139153855,295.295203818,40.3846693667,11.4164,0.465294,1711.849947,0.03126,0.11106102486,15,2,3,9.18254,,4930.42,,22.70691,-0.24327
1417,139153978,295.241218443,40.4376488525,13.3052,0.174322,1711.529732,0.00456,0.02040090366,15,2,3,0.876863,1.12,6041.0,4.60142,9.09568,0.27391
1418,139153982,295.354515569,40.4384777333,11.332,0.174322,1711.529101,0.00651,0.021457294980000003,15,2,3,89.1889,,3893.0,,9.8456,0.2457
1422,139154041,295.288098816,40.4838299982,10.7294,0.174322,1711.529479,0.00603,0.0200731783,15,2,3,8.33575,,4590.01,,10.09469,0.16996
1439,139154361,295.366451748,40.6231771086,12.608,0.365989,1711.540563,0.00641,0.044592099760000004,15,2,3,11.5639,,4835.26,,11.32275,0.29649
1441,139154376,295.36638686,40.6324441021,12.4348,0.365989,1711.553156,0.00124,0.04772862549,15,2,3,9.3246,,4817.29,,11.17731,0.12424
1442,139154396,295.235306715,40.6367588404,12.8067,0.365989,1711.545789,0.00897,0.06758718863,15,2,3,1.70703,1.57,7078.0,4.16948,16.13732,0.22923
1443,139154473,295.245879679,40.6448834653,12.2633,0.365989,1711.546728,0.00275,0.06545713265,15,2,3,15.5508,,4461.0,,12.25421,0.15263
1448,139154649,295.307522862,40.6808134323,13.1384,0.759739,1711.872472,0.01796,0.18419872055,15,2,3,1.41863,1.18,6168.82,4.20621,25.4539,0.34065
1449,139154663,295.292656949,40.6878205301,10.6737,0.75835,1711.891475,0.00334,0.1749437615,15,2,3,21.7073,,4150.41,,24.96824,0.26672
1451,139154699,295.332037527,40.7272329823,13.3995,11.448851,1716.030119,0.01564,0.17127481096,15,2,3,4.64682,,4601.0,,9.22458,0.14508
1528,139156367,295.353525373,41.3754489228,13.4114,0.2896,1711.591528,0.01644,0.066008528,15,2,3,5.02293,,4930.0,,25.35441,-0.09506
1550,139157339,295.343062763,41.5430796475,12.244,1.093767,1712.460695,0.01528,0.21427989297,15,2,3,29.3574,,4249.0,,12.88474,-0.17199
1555,139157883,295.294461296,41.6028640337,13.4815,0.641683,1711.510743,0.00113,0.1205080674,15,2,3,1.74686,1.01,5676.75,3.95787,13.85879,0.35311
1572,139158895,295.31247449,41.7340435763,13.3968,2.206961,1684.845171,0.00154,0.14777810856000004,15,2,3,12.6209,,4686.78,,11.06043,0.2013
1573,139158933,295.364070895,41.7465132959,13.0328,0.946544,1683.569008,0.00602,0.17676709200000001,15,2,3,8.42309,,5041.08,,12.83287,0.14906
1580,139159135,295.302078454,41.7979659435,12.6834,1.518767,1683.500854,2.37031,0.21194393485000002,15,2,3,14.3398,,4736.0,,84.00287,0.34076
1581,139159153,295.297401348,41.8064008762,13.3228,1.518767,1683.501517,0.32815,0.27814698838,15,2,3,2.04557,1.64,7263.0,4.03128,140.79638,0.86651
1582,139159307,295.283651001,41.8085358355,12.7633,1.518072,1683.501138,0.00369,0.12868696344,15,2,3,1.48974,1.19,6208.15,4.1674,10.61762,0.22503
1609,139160599,285.893743759,47.8107969123,8.529,1.630572,1683.729055,0.00298,0.182216421,15,2,3,10.7158,,4700.81,,25.0889,0.3094
1610,139160622,285.943235027,47.7973333893,13.2949,1.631267,1683.713886,0.00865,0.16485584302,15,2,3,2.42858,,5314.5,,17.43087,0.21134
1612,139160800,285.980548589,47.7882947519,12.3116,0.566683,1683.502,0.00341,0.12775301552,15,2,3,0.788274,0.9,5241.28,4.59896,30.29372,-0.2531
1615,139161080,285.940628726,47.7355448842,13.2148,2.841683,1684.7515,0.00045,0.14600567254000002,15,2,3,1.43306,1.01,5680.0,4.12986,9.83973,0.21315
1631,139161890,286.011304309,47.5559821622,10.485,0.956267,1683.801664,0.00645,0.09822774624,15,2,3,11.1883,,4745.72,,16.11396,0.2054
1637,139162171,285.914244866,47.4563593949,8.9968,0.382655,1683.502905,0.00305,0.0719927117,15,2,3,21.7204,,4361.0,,12.29636,0.02767
1668,158108310,285.962676142,46.8155680791,11.5333,0.08335,1683.441559,0.00341,0.0018662064999999998,15,2,3,10.0883,,4876.38,,9.12531,0.19772
1670,158108362,285.958718637,46.7865389428,11.7775,0.898628,1684.333056,0.00031,0.10581344699999999,15,2,3,1.6111,,6329.46,,9.0189,0.14558
1673,158108406,285.969624151,46.7542757237,13.1807,0.08335,1683.441542,0.00333,0.0019895645,15,2,3,0.807277,0.76,4717.61,4.50484,9.76773,0.22699
1679,158108559,286.000726967,46.6515637275,11.7205,0.597239,1683.956784,0.05143,0.11574491819999999,15,2,3,3.06868,,5175.43,,42.7917,-0.14461
1680,158108644,285.900388257,46.6191704816,11.0572,0.08335,1683.441536,0.01113,0.0019162164999999998,15,2,3,10.8632,,4593.61,,10.50783,0.22163
1681,158108653,285.898867385,46.6089634178,13.2745,0.08335,1683.441547,0.00626,0.0019020469999999998,15,2,3,0.691919,0.657733,3947.0,4.57601,10.34337,0.22038
1687,158108769,285.884593127,46.4704874947,12.724,13.278961,1688.107198,0.26021,0.2894813498,15,2,3,8.78886,,4536.08,,36.86769,0.42281
1688,158108771,286.026841976,46.4543062882,13.3786,13.283694,1688.103876,0.05871,0.28108296504,15,2,3,1.23008,1.05,5818.04,4.27939,31.98777,0.42251
1704,158109291,286.114322987,46.4943694835,12.2696,7.016814,1684.130471,0.02426,0.14187997908,15,2,3,1.27988,1.0,5631.87,4.22373,41.91376,0.34882
1744,158111074,286.148501297,47.2702984113,12.9678,0.08335,1683.441529,0.00498,0.001863706,15,2,3,0.404179,0.396191,3408.0,4.82282,9.15249,0.20231
1747,158111193,286.14907874,47.2823307248,11.904,0.099322,1683.509507,0.00488,0.01750450928,15,2,3,1.16778,1.09,5959.0,4.34077,21.8063,0.09827
1752,158111327,286.048818529,47.4649884918,12.1533,0.111128,1683.490679,0.00689,0.00343274392,15,2,3,1.6718,1.35,6540.47,4.12203,11.8723,0.23603
1771,158174188,286.181324218,47.7172363825,13.2748,4.373106,1686.217007,0.00054,0.1532773653,15,2,3,0.743085,1.01,5672.0,4.70031,9.77995,0.20465
1772,158174195,286.185068298,47.7175038841,11.0665,0.08335,1683.441471,0.01927,0.0019970659999999996,15,2,3,1.80044,1.33,6489.0,4.05116,9.91759,0.20599
1775,158174243,286.097481186,47.8200712184,12.3847,0.08335,1683.441475,0.00427,0.001907048,15,2,3,1.96647,1.24,6301.23,3.94411,9.09173,0.18195
1826,158175047,286.20978782,47.3052715305,12.8196,0.072933,1683.492937,0.02935,0.00106263381,15,2,3,10.5087,,4773.54,,9.55858,0.2367
1831,158175151,286.227324236,47.2443221997,11.2991,0.597239,1683.961102,0.11912,0.11604353769999999,15,2,3,23.8842,,4041.0,,41.38565,-0.18234
1834,158175179,286.28895628,47.1614226398,12.9503,0.597239,1683.961689,0.00071,0.13817124265,15,2,3,0.942277,1.01,5667.49,4.49403,34.0694,-0.39502
1838,158175305,286.283867399,47.054400738,11.5947,0.265294,1683.656989,0.00143,0.045688932679999995,15,2,3,10.6129,,4732.28,,12.99946,-0.00637
1857,158175593,286.264894183,46.6828565275,11.4445,0.3146,1683.593703,0.00138,0.027304134,15,2,3,14.0908,,4733.78,,9.3958,0.14694
1863,158175638,286.212481221,46.5721098178,13.3995,0.400711,1683.48615,0.01757,0.08720272782,15,2,3,1.97075,0.99,5586.49,3.84444,81.88221,0.44939
1898,158210941,286.510694386,46.3316183083,11.9343,1.009739,1684.223403,0.02748,0.16488028131,15,2,3,1.20688,1.19,6189.0,4.35029,119.41628,0.44046
1906,158211108,286.4179883,46.4250286057,8.7161,0.08335,1683.441418,0.0389,0.0014419549999999998,15,2,3,2.38895,2.19,8720.0,4.0221,10.6846,0.00172
1908,158211125,286.374554,46.464527,11.814,0.08335,1683.441444,0.00456,0.0019887309999999997,15,2,3,1.75531,,6784.72,,11.18999,0.19199
1942,158211708,286.499685776,47.1520147436,13.4436,0.104183,1683.484499,0.01283,0.00129082737,15,2,3,1.39494,1.32,6467.24,4.26953,11.92308,0.21034
1948,158211823,286.360802712,47.2634193565,10.3114,0.380572,1683.793868,0.01577,0.08771804028,15,2,3,2.91874,1.68,7386.98,3.73299,42.93658,-0.27693
1949,158211838,286.386375453,47.288391038,13.4437,0.380572,1683.793346,0.03886,0.0886352188,15,2,3,1.73464,1.1,5992.44,4.00104,42.86837,-0.27892
1992,158270833,286.618291884,47.8428773161,12.8661,0.33335,1683.477515,0.09103,0.0406386985,15,2,3,0.790225,0.745,4676.97,4.51472,23.9816,0.21264
2003,158270975,286.667124311,47.5390296505,13.4157,0.104183,1683.484527,0.01587,0.0012887437100000002,15,2,3,1.40068,1.0,5623.0,4.14539,10.39485,0.19699
2015,158271238,286.630562701,47.3860704635,12.7937,0.471544,1683.850643,0.00294,0.060659420160000005,15,2,3,2.30861,0.96,5478.36,3.69364,12.93127,0.21118
2030,158271482,286.591613113,47.1485929154,13.3475,0.072933,1683.492926,0.01239,0.00120849981,15,2,3,1.41109,1.12,6036.02,4.18817,9.13288,0.2689
2059,158272057,286.574876519,46.5994734787,10.4206,11.420552,1689.773193,0.16467,0.4893706532,15,2,3,0.828599,0.898,5253.17,4.55465,29.11016,0.40689
2093,158272579,286.814328115,45.9452871961,12.8225,0.521544,1683.510716,0.00656,0.0915048948,15,2,3,0.945687,0.94,5395.55,4.4597,29.72862,0.57207
2099,158272742,286.700542569,46.0338072827,12.9949,1.400711,1683.692325,0.06045,0.14911969306,15,2,3,1.14363,1.0,5637.95,4.32149,125.22205,0.3907
2100,158272744,286.79881328,46.0452715165,13.0086,1.400711,1683.693093,0.02765,0.14420319745000001,15,2,3,2.13733,1.13,6061.0,3.8314,81.04316,0.40996
2101,158272747,286.839678421,46.0479353084,11.9162,1.400711,1683.69308,0.00335,0.11977479761000001,15,2,3,10.4337,,4734.0,,38.59047,0.2834
2112,158272942,286.829356451,46.1913191995,13.215,0.08335,1683.441477,0.00609,0.0018753749999999999,15,2,3,1.59479,1.0,5627.27,4.03266,9.5495,0.20461
2122,158273162,286.804347217,46.4153988262,11.8652,0.08335,1683.441504,0.01023,0.0017970259999999997,15,2,3,1.95432,1.12,6023.0,3.90529,9.15039,0.1985
2142,158273633,286.710224038,46.7877560567,13.3386,2.737517,1684.414281,0.00037,0.20049574508,15,2,3,1.02634,1.07,5900.85,4.44487,9.10318,0.20165
2145,158273665,286.829366986,46.8322641165,12.0815,0.513211,1683.530051,0.03899,0.056663626509999995,15,2,3,1.8678,1.23,6279.0,3.98531,29.75112,0.41279
2155,158321070,286.714583494,47.0492209302,12.1869,1.010433,1683.848719,0.00155,0.10683308108999999,15,2,3,2.03755,0.99,5611.26,3.81548,9.93469,0.15166
2162,158321185,286.685499901,47.0982156978,12.8515,0.165989,1683.547775,0.00119,0.02345756548,15,2,3,1.81263,1.32,6469.13,4.04202,12.75022,-0.02069
2184,158321576,286.828054369,47.4057250217,12.9025,0.176405,1683.521251,0.00319,0.027041122450000003,15,2,3,1.09012,,6178.37,,11.91364,0.14573
2191,158321712,286.684560484,47.5128775093,13.026,0.272933,1683.589893,0.01531,0.05618052872,15,2,3,0.751322,0.686,4389.68,4.52274,29.70736,-0.07074
2194,158321813,286.694130067,47.5506019242,12.1825,4.215601,1686.88295,0.0066,0.12216811698,15,2,3,2.38993,1.35,6529.48,3.81163,14.12398,0.23397
2195,158321843,286.724226851,47.5588643219,13.3526,8.427556,1691.105459,0.57317,0.136947785,15,2,3,2.9497,,4818.0,,103.08527,0.4252
2198,158321872,286.708002382,47.5666000934,10.2353,8.432718,1691.091898,0.00597,0.12876760386,15,2,3,1.21787,1.038,5786.0,4.28306,26.73638,0.36907
2204,158322013,286.828792621,47.6681482467,10.9855,0.5896,1683.591046,0.00055,0.070380552,15,2,3,5.81297,,4826.9,,10.00211,0.03079
2236,158322489,286.96314768,47.4965775699,13.3793,0.644461,1683.817449,0.00079,0.061655583869999996,15,2,3,0.646238,0.6243,3784.0,4.61268,9.97759,0.20604
