,tic_id,RA,Dec,Tmag,Period,Epoc,Transit_Depth,Duration,Sectors,Camera,CCD,star_rad,star_mass,teff,logg,SN,Qingress
0,10002224589,292.938518082,41.8582633774,11.3862,0.261128,1683.481302,0.14676,0.04960126360000001,15,2,3,1.84477,1.38,6615.73,4.04606,31.45105,0.33253
17,10000765499,293.087186578,41.8217890523,12.4347,2.465294,1683.495014,0.01142,0.22338028934,15,2,3,2.88908,1.01,5663.79,3.52087,43.29705,0.52797
20,137902018,293.054469829,41.8139818993,11.7739,9.45816,1714.961992,0.02976,0.4467088968,15,2,3,1.02767,1.017,5706.14,4.42168,47.65431,0.35712
26,137902124,293.089886048,41.7743675448,11.9071,0.350711,1711.744921,0.00114,0.054447882749999996,15,2,3,1.60655,1.23,6292.0,4.11619,10.68213,-0.02255
44,137902327,293.168083036,41.7231286428,13.1436,0.6146,1711.776695,0.00966,0.16607721200000003,15,2,3,13.3622,,4912.0,,47.64192,0.43044
60,137902413,293.243146081,41.8751788914,11.8337,0.111128,1711.472346,0.01397,0.0006523213600000001,15,2,3,6.62085,,5084.68,,11.45361,0.21788
63,10000900301,293.236649114,41.9240729172,13.126,1.575711,1684.382622,0.00351,0.15029131518000002,15,2,3,5.52308,,5132.82,,15.33387,0.21563
88,138097640,293.338059143,41.7091278934,10.1532,4.349513,1711.893629,0.03459,0.03018562022,15,2,3,9.7914,,4853.51,,15.18439,0.4659
100,10002576577,293.297708378,41.6002665797,13.2448,0.08335,1683.504901,0.02601,0.0007134759999999999,15,2,3,12.1527,,4876.54,,10.71827,0.2503
109,137901886,293.545043069,41.409104544,10.0225,0.667378,1711.659217,0.00403,0.07251729348000001,15,2,3,73.2798,,3842.02,,9.64861,0.18233
132,138098461,293.424660712,41.5727618948,13.0279,1.159739,1683.564226,0.00568,0.34084729210000003,15,2,3,,,,,31.85141,0.38421
135,138098498,293.498008878,41.5948628082,11.693,1.159044,1683.597194,0.00139,0.21201232847999998,15,2,3,1.9958,2.45,9628.0,4.227,10.20517,-0.22291
169,138220028,293.504567782,41.8709516469,12.8126,1.559739,1684.607513,0.0979,0.16516076271,15,2,3,1.65996,1.22,6256.57,4.08423,74.23298,0.39065
249,138221450,293.831616876,41.2002663495,9.0612,1.507655,1684.19549,0.00619,0.2262688624,15,2,3,17.9444,,4490.4,,17.98477,0.13774
251,138221465,293.847508457,41.2925623525,13.4323,1.006961,1684.133697,0.00325,0.19657892642,15,2,3,0.705725,0.667549,3732.0,4.56528,15.67473,-0.14715
