num,tic_id,RA,Dec,Tmag,Period,Epoc,Transit_Depth,Duration,Sectors,Camera,CCD,star_rad,star_mass,teff,logg,SN,Qingress
54526,7852929,292.2608458,40.74056172,13.2223,0.2521,1683.445243,0.00065,0.04242843,14,2,3,1.79491,1.28,6387.85,4.03719,10.31679,0.27767
54538,351764934,279.0193907,40.38116699,13.1439,0.623628,1683.905646,0.04349,0.110450755,14,2,3,1.97791,1.11,6006.27,3.89098,89.8505,0.41385
54579,121273776,279.9176702,40.2731009,13.4376,0.3271,1683.643302,0.00403,0.041450112,14,2,3,1.34608,0.98,5560,4.17115,12.70631,0.13613
54588,121086421,279.968666,38.106123,9.624,0.48335,1683.661833,0.06218,0.236430652,14,2,3,,,,,81.08837,-1.32115
54603,1716802676,280.3076603,37.84855924,13.401,1.213905,1683.659646,3.60623,0.150997643,14,2,3,10.8872,,4757,,250.17157,0.35773
54632,121112320,280.909102,39.11221332,12.0756,0.409739,1683.528804,0.01459,0.129850386,14,2,3,1.42366,1.05,5839,4.15245,128.34448,0.70244
54654,123357034,286.1867672,47.51073249,9.56595,3.272315,1684.01552,0.00517,0.050033696,14,2,3,1.98191,1.358,6556.52,3.9768,16.95541,0.22017
54659,122136341,286.3011059,44.63006865,12.1471,0.128489,1683.514063,0.01305,0.050611817,14,2,3,5.22715,,4790.62,,47.72108,-0.97324
54700,399861846,286.8252711,45.09698807,12.0428,0.122239,1683.507429,0.28844,0.056198158,14,2,3,1.69274,1.46,6782.75,4.14524,74.53813,-1.26439
54715,158837282,287.0750597,43.16583116,12.2548,2.407404,1685.108904,0.04781,0.242353361,14,2,3,1.0724,0.96,5485.92,4.35962,19.15268,0.31887
54725,120046335,287.2922713,43.60034059,12.1244,0.188211,1683.603674,0.0467,0.082443946,14,2,3,15.7964,,4168,,92.21341,-1.0651
54741,357789993,287.6442062,46.47231711,12.2325,2.169039,1685.614378,0.01422,0.185235931,14,2,3,11.3825,,4982.83,,112.6302,0.2846
54760,164655555,287.8129543,45.01934606,13.1422,6.037627,1686.449637,0.00092,0.162532919,14,2,3,4.44279,,4960.58,,10.04548,0.20925
54767,157763582,287.8536511,43.26666572,12.6375,0.3521,1683.776034,0.00424,0.063360395,14,2,3,11.1776,,4728.78,,18.38984,-0.03414
54781,159102550,288.2146587,47.12290177,12.7349,0.488211,1683.535573,0.33206,0.118918435,14,2,3,,,6264.76,,53.44778,0.405
54785,158387012,288.3144639,45.79212881,13.0406,0.587517,1683.494741,0.02472,0.140633944,14,2,3,10.418,,4866.72,,17.69327,0.26251
54825,123451553,288.7643962,46.17493746,13.3904,0.504183,1683.578343,0.00165,0.237802954,14,2,3,8.60494,,4633,,51.44994,-1.58865
54827,63004541,288.6462317,46.27497412,11.506,0.359739,1683.639948,0.01158,0.10349691,14,2,3,0.681939,0.767,4764.05,4.65537,42.55074,0.40202
54831,123356124,288.8770492,47.20569782,10.8316,0.290294,1683.503746,0.00217,0.052360329,14,2,3,,,6023.93,,17.42512,0.06688
54835,122889640,288.8841441,46.06057059,11.5778,13.57179,1695.542361,0.00505,0.212805667,14,2,3,1.85387,1.6,7171,4.10603,25.53503,0.52094
54836,157582864,288.8426631,46.04781381,12.9402,3.6144,1684.708442,0.01224,0.139443552,14,2,3,1.07095,0.92,5326.2,4.34232,23.51818,0.24801
54856,121944406,289.2215206,46.87873086,10.5298,0.325711,1683.49898,0.00428,0.033167151,14,2,3,1.43524,1.074,5907.14,4.15522,9.63478,0.19257
54860,121730786,289.2309794,44.56504952,13.3053,4.080504,1686.751882,0.00128,0.162281644,14,2,3,1.15119,1.06,5868.06,4.34108,16.03644,0.19023
54865,120687562,289.3200205,43.24929315,12.9919,0.352794,1683.732594,0.00295,0.083735656,14,2,3,3.04938,1.12,6033.66,3.51886,15.91889,-0.22443
54870,159717412,289.4069715,45.11919319,12.5954,0.566683,1683.900764,0.00233,0.133844858,14,2,3,,,,,16.57613,-0.06095
54886,122955584,289.7679342,43.41619901,13.4097,14.005602,1695.988051,0.0251,0.199579829,14,2,3,1.04556,0.98,5573.68,4.3906,24.56721,0.20819
54888,120575899,289.7572462,43.99075767,7.4802,0.472239,1683.474522,0.0053,0.087231988,14,2,3,,,3161,,16.27104,-0.0676
54950,351804416,291.1798588,43.46813971,12.6024,0.745155,1683.847844,0.09708,0.129411069,14,2,3,12.9697,,4691,,21.48203,0.01222
54965,279912295,282.874485,46.78075755,10.3517,1.219461,1684.111099,0.00265,0.116324385,14,2,3,1.73875,1.371,6585,4.09463,23.04135,0.21952
54986,237188863,283.1404713,44.63826751,12.4139,6.71161,1684.929896,0.17385,0.149803135,14,2,3,10.3202,,4803,,189.62016,0.33718
54987,164722818,283.1526992,44.25688522,12.6249,0.522933,1683.892257,0.00176,0.033525235,14,2,3,38.9519,,4271.09,,9.07952,0.14858
54993,424434250,283.2761547,44.36149569,12.212,0.334739,1683.766921,0.00422,0.046672659,14,2,3,10.6312,,4718,,11.90927,0.07642
55005,159381825,283.6646062,42.87519034,12.1696,1.651405,1684.145291,0.00252,0.283447154,14,2,3,1.27217,1.1,5984,4.27037,21.96113,0.43651
55034,157544086,283.9488575,47.78972406,13.3483,13.906575,1692.081016,1.40086,0.732181174,14,2,3,1.48022,1.12,6037.81,4.14663,9.57552,0.25385
55039,164828265,284.3492811,44.90215339,10.3198,0.637517,1684.057888,0.01358,0.116289476,14,2,3,0.815522,0.77,4779.87,4.50169,16.71756,-0.04477
55043,123039439,284.3063762,47.33125205,11.9541,0.4396,1683.769205,0.023,0.086394588,14,2,3,1.94051,1.61,7196.67,4.06906,45.7291,0.01184
55051,121790872,284.547356,44.27652057,11.8864,4.130683,1685.152396,0.10051,0.308975088,14,2,3,38.6401,,4020.7,,32.53894,0.35483
55095,121731259,285.2461293,44.57536015,12.8931,0.230572,1683.489771,0.00215,0.022602973,14,2,3,2.89829,,5040,,10.10513,0.19628
55097,230294906,285.2396962,45.96779939,12.2314,0.125711,1683.513032,0.00074,0.050259258,14,2,3,10.6571,,4711.35,,29.17225,-0.143
55124,120423057,276.4843889,42.87597571,12.8497,0.436128,1683.472502,0.00034,0.335931953,14,2,3,1.25655,1.05,5816,4.2609,33.27695,0.8267
55132,158928475,277.5184235,48.20062001,12.4047,0.466683,1683.537756,0.00037,0.060412114,14,2,3,1.56463,1.04,5807,4.06628,19.09397,0.00113
55199,158387859,285.7246297,42.22492827,12.8642,0.525017,1683.510366,0.00561,0.084427984,14,2,3,1.32379,1.22,6266.7,4.28079,19.13436,-0.01292
55239,164459549,277.860649,38.67119475,10.388,0.19585,1683.478589,0.00239,0.101587395,14,2,3,20.9279,,4463,,29.03303,-1.17267
55244,298785306,278.2804145,40.5426087,12.0645,0.359044,1683.532449,0.01711,0.083122276,14,2,3,1.13728,1.2,6227.59,4.40551,28.35632,0.39608
55261,7852928,278.7413797,40.8948069,10.4635,0.2521,1683.445897,0.0012,0.035750301,14,2,3,11.9989,,4537,,10.36417,0.23006
55295,390129244,281.2258989,36.8886951,12.1033,2.127504,1684.70227,0.02208,0.130586196,14,2,3,1.43603,1.17,6153,4.19192,51.29772,0.45229
55314,120316255,281.5947309,40.61032393,10.7681,0.3896,1683.8106,0.18574,0.071768216,14,2,3,11.142,,4806.67,,27.01717,-0.07918
55322,120356916,281.7200092,38.61915308,11.0544,0.525017,1684.093105,3.21819,0.096288118,14,2,3,0.983578,0.977,5549,4.44234,39.38741,0.78947
55324,122954985,281.644267,38.350906,7.262,0.625017,1683.719549,0.02685,0.061732929,14,2,3,,,,,14.07208,0.18931
55343,351912004,285.6170878,49.47478977,12.9523,0.390989,1683.554128,0.05128,0.079757846,14,2,3,1.08435,1.13,6067,4.42081,23.27163,-0.17694
55395,158220622,285.6146898,43.48975418,13.1856,3.120595,1685.503801,0.00068,0.228958055,14,2,3,1.00749,1.06,5868.51,4.45689,13.23145,0.36898
55422,158663828,277.3533147,46.17218391,13.3094,4.510986,1689.317509,1.09586,0.031982891,14,2,3,1.5501,1.2,6216,4.13653,21.10936,0.27549
55470,123315052,282.3073858,39.20863824,13.1448,0.628489,1683.80656,0.00034,0.145495204,14,2,3,1.80708,1.02,5732,3.93272,12.408,0.27625
55494,159522602,285.3051222,38.39261221,11.4383,0.363905,1683.562158,0.01772,0.111464102,14,2,3,3.70627,,5036.01,,28.21861,-0.3279
55520,159571490,287.6010858,48.84486972,11.4566,8.546987,1686.134398,0.77844,0.058546861,14,2,3,1.08816,0.93,5367.45,4.33317,20.45859,0.22367
55551,158838121,274.034892,46.78050633,12.6324,0.7896,1683.992281,0.00106,0.098486808,14,2,3,,,,,10.6637,0.32578
55581,352011434,273.3310226,46.32139309,11.826,0.119461,1683.486131,0.08957,0.064255683,14,2,3,,,,,77.73257,-1.03272
55600,279911547,275.278014,42.69474582,11.6718,1.881267,1683.554619,0.02527,0.114268158,14,2,3,0.54646,0.542059,3580,4.697,21.07878,0.34454
55630,7851724,279.1974739,48.64462942,12.2711,0.6271,1683.482978,0.0042,0.145882273,14,2,3,1.6854,1.04,5805,4.00169,23.87444,0.437
55648,336267424,281.3615454,49.11286989,12.6369,1.481961,1684.221692,0.0162,0.10601949,14,2,3,1.5704,1.05,5820,4.06724,80.88302,0.40374
55662,120253228,282.7444817,49.53782328,10.384,0.385433,1683.520581,0.12755,0.036581446,14,2,3,10.1744,,4668,,18.0279,0.2444
55680,164887322,283.7787982,48.9749439,13.0019,0.197239,1683.553695,0.0403,0.086708237,14,2,3,1.71538,1.04,5794.81,3.98638,81.15395,-0.90939
55687,289458816,284.1618498,48.29844363,12.3214,0.505572,1683.510071,0.01156,0.322741998,14,2,3,1.59463,1.31,6445.02,4.15002,58.59091,-1.75791
55795,164998988,286.2027712,40.55909634,11.5205,0.08335,1683.464502,0.0464,0.001093552,14,2,3,1.29936,1.22,6266.55,4.29697,9.06749,0.1824
55814,158321872,286.7406419,40.14077721,10.3396,8.441361,1691.084417,0.00446,0.110497415,14,2,3,2.00017,1.6,7178.21,4.04005,14.51979,0.22255
55830,158175151,287.0530793,39.80049737,13.2576,0.597239,1683.963419,0.12288,0.120116708,14,2,3,34.0143,,4409,,32.64485,-0.10785
55842,1716319562,287.2892295,41.00015669,13.474,0.413211,1683.824816,5.24563,0.190944803,14,2,3,1.03548,1.13,6063.23,4.46086,157.40738,0.73657
55845,122071141,287.5607541,40.54817733,13.4569,0.391683,1683.649737,0.00108,0.106502525,14,2,3,12.5699,,4519.75,,28.00961,-0.051
55855,158113618,287.6515921,39.73915171,13.0291,1.386822,1683.56226,0.1186,0.135575719,14,2,3,2.0075,1.35,6541,3.96309,131.35365,0.40406
55864,120356966,287.7699903,39.24922316,12.3736,3.466444,1683.98366,0.00139,0.105414562,14,2,3,1.73305,1.38,6613,4.10033,9.61251,0.14543
55875,121461047,288.1487988,40.01099942,12.0251,0.509044,1683.786378,0.00192,0.042388094,14,2,3,7.61677,,4824.15,,10.22348,0.17571
