,tic_id,RA,Dec,Tmag,Period,Epoc,Transit_Depth,Duration,Sectors,Camera,CCD,star_rad,star_mass,teff,logg,SN,Qingress
1,310771547,291.294346,52.058262,12.659,0.361128,1683.720403,0.0171,0.0685962636,14,2,4,0.734637,,5667.58,,25.8547,-0.07553
17,296019004,291.604671135,52.4672149891,11.3538,0.559739,1683.924242,0.00292,0.20606231546,14,2,4,0.56947,0.562435,3846.0,4.6772,22.34612,-0.10535
35,296549665,291.850850234,51.4791464683,13.1254,0.075017,1683.476163,0.01737,0.00072916524,14,2,4,8.46821,,4500.57,,10.40157,0.25038
85,184944633,293.015162887,51.6055469569,13.4528,2.152142,1684.514462,0.00392,0.13446583216,14,2,4,3.83332,,5416.2,,14.64122,0.36967
90,364911894,293.160805247,50.8507904211,13.1337,0.148628,1683.461085,0.00064,0.03197285536,14,2,4,20.032,,4389.0,,10.61919,-0.19801
97,405898770,293.294458823,48.4687369746,9.8929,0.978489,1683.984977,0.0054,0.00835629606,14,2,4,9.66346,,5007.64,,9.85713,0.22396
115,275573717,293.68049662,51.3962111561,12.272,0.850711,1683.682924,0.0054,0.15645426000999998,14,2,4,41.837,,3965.3,,13.11896,0.07177
163,240219163,294.644801665,50.4684234303,12.6853,0.511822,1683.664503,0.00379,0.04599232492,14,2,4,0.648889,,5092.56,,9.73757,0.16645
164,268304743,294.697161232,50.3245894833,13.3664,0.270155,1683.522876,0.00429,0.04035845545,14,2,4,1.73458,1.4,6656.67,4.10581,17.63703,0.05473
201,352052058,295.193750505,52.872450399,12.4003,0.954878,1684.185681,0.00684,0.1597033455,14,2,4,12.5453,,4685.0,,12.56867,0.06461
212,294280254,295.397164473,48.5826575005,12.9693,0.290989,1683.502349,0.00242,0.046802670760000005,14,2,4,1.38518,1.1,5978.0,4.19644,11.52495,0.06457
216,271547846,295.632895728,48.6711047559,12.8291,1.33335,1684.228179,0.06512,0.1267349175,14,2,4,1.28034,1.39,6626.0,4.36643,45.1192,0.1391
234,290312565,295.790102942,49.3426007875,11.7815,0.72085,1683.686296,0.29065,0.1587672125,14,2,4,28.0042,,4235.0,,212.32208,0.44804
