tic_id,disp_E,disp_N,disp_J,disp_S,disp_B,maxcount
28443364,10,0,0,0,0,10
185494856,0,0,10,0,0,10
290310799,0,0,10,0,0,10
274031688,0,0,10,0,0,10
271667191,10,0,0,0,0,10
185187248,0,0,10,0,0,10
272607179,2,0,8,0,0,8
352053409,0,0,0,0,10,10
185780077,10,0,0,0,0,10
278556489,0,0,0,0,10,10
416963193,0,0,10,0,0,10
193758734,0,0,10,0,0,10
27766676,10,0,0,0,0,10
294281948,0,0,0,0,10,10
258761615,2,0,0,0,8,8
406010362,0,0,0,0,10,10
256186026,0,0,10,0,0,10
256290009,10,0,0,0,0,10
26811496,0,0,10,0,0,10
185299335,9,0,1,0,0,9
273778479,0,0,10,0,0,10
188114311,10,0,0,0,0,10
184093475,10,0,0,0,0,10
268831064,10,0,0,0,0,10
311784139,0,0,10,0,0,10
272841744,10,0,0,0,0,10
295701376,0,0,0,0,10,10
187942217,0,0,10,0,0,10
295207137,0,0,10,0,0,10
294466400,0,0,8,0,2,8
28303335,0,0,10,0,0,10
239273964,10,0,0,0,0,10
272712045,10,0,0,0,0,10
186053557,0,0,10,0,0,10
187870212,0,0,10,0,0,10
185994445,0,0,0,0,10,10
184947648,0,0,2,0,8,8
351193003,0,0,0,0,10,10
500787607,0,0,10,0,0,10
193187746,0,0,10,0,0,10
271671467,0,0,10,0,0,10
186048081,0,0,10,0,0,10
416531652,7,0,0,0,3,7
193075379,0,0,10,0,0,10
303178091,0,0,10,0,0,10
271431264,2,0,0,0,8,8
295701364,0,0,0,0,10,10
188113517,0,0,10,0,0,10
296316066,10,0,0,0,0,10
185775350,0,0,10,0,0,10
270779565,0,0,10,0,0,10
276925086,0,0,10,0,0,10
27188139,10,0,0,0,0,10
239307820,0,0,0,0,10,10
271959698,0,0,0,0,10,10
295807723,10,0,0,0,0,10
268313199,0,0,1,0,9,9
267672168,0,0,10,0,0,10
239288756,0,0,0,0,10,10
258761231,0,0,10,0,0,10
26755319,0,0,0,0,10,10
271426305,0,0,10,0,0,10
268380060,10,0,0,0,0,10
193716057,0,0,0,0,10,10
290203389,10,0,0,0,0,10
1882955202,10,0,0,0,0,10
350738023,0,0,10,0,0,10
27843296,10,0,0,0,0,10
185058142,0,0,0,0,10,10
405939741,0,0,0,0,10,10
267035185,0,0,1,0,9,9
271878032,0,0,10,0,0,10
277010550,0,0,0,0,10,10
256191829,1,0,9,0,0,9
294678963,0,0,0,0,10,10
26809877,0,0,10,0,0,10
239234478,0,0,10,0,0,10
138636710,0,0,0,0,10,10
27912929,0,0,10,0,0,10
1971401556,10,0,0,0,0,10
1971119911,0,0,0,0,10,10
185844988,10,0,0,0,0,10
268289109,1,0,9,0,0,9
295306639,10,0,0,0,0,10
28163201,10,0,0,0,0,10
240189803,10,0,0,0,0,10
185344910,0,0,10,0,0,10
26412784,10,0,0,0,0,10
416929583,0,0,10,0,0,10
256191634,0,0,9,0,1,9
267991272,0,0,10,0,0,10
273378273,0,0,0,0,10,10
27838394,7,0,3,0,0,7
194138276,0,0,10,0,0,10
239268929,0,0,0,0,10,10
294279275,10,0,0,0,0,10
185458228,0,0,10,0,0,10
351292559,0,0,0,0,10,10
416971238,0,0,10,0,0,10
417655006,10,0,0,0,0,10
274031613,0,0,10,0,0,10
267990209,10,0,0,0,0,10
270614570,10,0,0,0,0,10
186053319,0,0,10,0,0,10
295706011,0,0,10,0,0,10
256193124,10,0,0,0,0,10
500787542,0,0,8,0,2,8
187938749,0,0,10,0,0,10
365278049,8,0,2,0,0,8
303250876,10,0,0,0,0,10
271352095,0,0,10,0,0,10
303245757,0,0,10,0,0,10
273871859,0,0,10,0,0,10
272077161,0,0,10,0,0,10
294688014,10,0,0,0,0,10
271429605,0,0,9,0,1,9
311688676,0,0,0,0,10,10
239288876,0,0,10,0,0,10
270957553,0,0,5,0,5,5
185950132,0,0,10,0,0,10
267984023,10,0,0,0,0,10
184998854,10,0,0,0,0,10
28367267,0,0,10,0,0,10
187937834,10,0,0,0,0,10
271252193,0,0,0,0,10,10
274019917,0,0,10,0,0,10
274021225,0,0,10,0,0,10
270783899,10,0,0,0,0,10
303248025,0,0,10,0,0,10
271968195,0,0,0,0,10,10
187777870,0,0,0,0,10,10
185709902,0,0,0,0,10,10
185345375,0,0,10,0,0,10
352271354,0,0,10,0,0,10
258764815,0,0,10,0,0,10
193549972,10,0,0,0,0,10
26813239,0,0,0,0,10,10
185543560,0,0,10,0,0,10
239268703,0,0,10,0,0,10
193714114,0,0,10,0,0,10
239305323,0,0,0,0,10,10
186252971,0,0,0,0,10,10
277009990,0,0,0,0,10,10
295890391,10,0,0,0,0,10
185224586,0,0,0,0,10,10
184562985,0,0,10,0,0,10
185680805,0,0,10,0,0,10
186129693,0,0,10,0,0,10
276923534,0,0,10,0,0,10
273870923,10,0,0,0,0,10
185889095,0,0,10,0,0,10
194139515,3,0,5,0,2,5
187878839,0,0,0,0,10,10
274119630,10,0,0,0,0,10
193986745,0,0,10,0,0,10
269145917,0,0,10,0,0,10
276710912,10,0,0,0,0,10
294689512,0,0,4,0,6,6
193388892,0,0,10,0,0,10
378270901,10,0,0,0,0,10
193115583,0,0,10,0,0,10
186004614,10,0,0,0,0,10
26883641,0,0,10,0,0,10
187785852,0,0,10,0,0,10
272944623,10,0,0,0,0,10
186128454,10,0,0,0,0,10
63373061,0,0,10,0,0,10
267034618,0,0,0,0,10,10
184949076,8,0,2,0,0,8
294898214,0,0,0,0,10,10
258761542,4,0,6,0,0,6
