epicid,ra,dec,kepmag,period,t0,duration,campaign,label
219463963,[[288.2927856]],[[-16.6879349]],[[15.942]],0.245116219,2468.645882,0.141186942,7, J
219465146,[[289.0900879]],[[-16.6850224]],[[12.952]],31.13079107,2496.354954,1.73394976,7, J
219465183,[[288.3063049]],[[-16.6849308]],[[13.837]],33.06285161,2488.546067,1.416905791,7, J
219466820,[[288.4967957]],[[-16.6807365]],[[8.758]],0.245116204,2468.665504,0.141186934,7, J
219468426,[[288.8145447]],[[-16.6766548]],[[12.475]],29.46109626,2494.598424,2.609995645,7, J
219468685,[[289.2624207]],[[-16.6760349]],[[15.369]],1.961058914,2469.14601,1.889069344,7, J
219469361,[[286.5413818]],[[-16.6743221]],[[12.164]],7.839219247,2473.107615,0.375853571,7, J
219471054,[[288.6796875]],[[-16.6701088]],[[17.24]],31.13088681,2496.345411,1.513723276,7, J
219473187,[[289.301239]],[[-16.6649055]],[[12.869]],27.99074511,2477.687664,13.93258299,7, J
219473473,[[286.2941589]],[[-16.6642284]],[[13.417]],36.72530145,2494.775872,6.054842776,7, J
219476143,[[287.8779907]],[[-16.6575756]],[[12.795]],11.76116347,2473.10932,1.210662913,7, J
219479128,[[288.2354736]],[[-16.6499176]],[[12.596]],16.16330286,2473.143788,1.721531198,7, J
219480273,[[288.1697388]],[[-16.6469688]],[[11.208]],37.43724218,2488.563975,2.32194796,7, J
219481496,[[288.9213867]],[[-16.6439018]],[[14.343]],0.245116144,2468.66553,0.141186899,7, J
219482171,[[288.5700684]],[[-16.6423149]],[[16.467]],0.245116174,2468.645899,0.141186916,7, J
219482958,[[288.7842407]],[[-16.6404209]],[[15.012]],19.59753166,2478.957945,1.559962212,7, J
219483701,[[286.5568542]],[[-16.6386375]],[[13.223]],5.875369804,2473.129732,0.792067017,7, J
219486156,[[288.140564]],[[-16.6327133]],[[14.311]],0.980979299,2469.101214,2.59497284,7, J
219487516,[[288.3059082]],[[-16.6293736]],[[17.65]],0.245116219,2468.645883,0.141186942,7, J
219489021,[[288.6818848]],[[-16.6255112]],[[12.388]],32.93074293,2494.576105,1.695463695,7, J
219490149,[[288.1225891]],[[-16.6227818]],[[11.928]],35.21603669,2482.935086,1.825731593,7, J
219491438,[[288.0169678]],[[-16.6196213]],[[17.805]],0.24511634,2468.644005,0.459053729,7, J
219492937,[[288.204834]],[[-16.6159744]],[[17.418]],0.490244995,2468.646223,0.448904286,7, J
219492941,[[288.934845]],[[-16.6159706]],[[17.061]],0.245154411,2468.636141,0.141208941,7, J
219496444,[[288.7912903]],[[-16.6074219]],[[14.648]],0.643490839,2468.732715,2.260452911,7, E
219497372,[[289.4462891]],[[-16.605114]],[[17.564]],3.922710066,2471.075327,1.052348217,7, J
219498343,[[288.6679382]],[[-16.6026402]],[[14.201]],31.13103475,2488.577423,1.84008733,7, J
219503792,[[286.4005432]],[[-16.5892086]],[[11.92]],15.6741888,2473.121505,1.842778507,7, J
219504766,[[287.0935364]],[[-16.5865898]],[[12.509]],0.245231179,2468.614166,0.286257722,7, J
219508392,[[288.3077698]],[[-16.5774765]],[[13.172]],0.245231047,2468.617344,0.141253083,7, J
219508661,[[289.1116028]],[[-16.576767]],[[15.377]],13.70513464,2476.817058,1.516786208,7, J
219509045,[[288.1322937]],[[-16.5757675]],[[16.787]],0.245116219,2468.645872,0.141186942,7, J
219511122,[[288.6444702]],[[-16.5705624]],[[16.436]],1.959843318,2469.173136,1.208963823,7, J
219511354,[[288.8972168]],[[-16.5699406]],[[12.812]],0.811029149,2468.832877,3.024760403,7, E
219512982,[[289.4594116]],[[-16.565691]],[[16.454]],0.245154351,2468.636173,0.141208906,7, J
219514754,[[287.9104614]],[[-16.5611744]],[[14.567]],23.40889766,2488.561541,2.249588419,7, J
219515097,[[287.9896545]],[[-16.5603752]],[[13.133]],1.960463726,2469.15823,1.015912172,7, J
219515616,[[289.1722107]],[[-16.5590706]],[[15.123]],2.217147945,2470.195099,3.014422518,7, E
219516131,[[289.5370178]],[[-16.5577583]],[[17.057]],0.245116085,2468.645959,0.141186865,7, J
219519652,[[288.5453491]],[[-16.5488873]],[[13.615]],0.245116174,2468.665507,0.141186916,7, J
219519888,[[289.0621948]],[[-16.5482807]],[[13.732]],39.33805879,2486.660178,1.706819428,7, J
219520557,[[288.7232666]],[[-16.546524]],[[14.224]],1.960461836,2469.158213,1.013803906,7, J
219522018,[[288.8643188]],[[-16.5426044]],[[17.26]],1.959860526,2469.181942,0.607580208,7, J
219522493,[[288.7428589]],[[-16.5413837]],[[12.484]],31.59948874,2488.559806,1.585989113,7, J
219527946,[[289.5325623]],[[-16.5276127]],[[17.239]],0.245116085,2468.645958,0.141186865,7, J
219528742,[[286.5400391]],[[-16.5253601]],[[12.686]],0.490245881,2468.668074,0.274645771,7, J
219532520,[[288.4360962]],[[-16.5158386]],[[13.825]],3.919643617,2471.119591,1.1804245,7, J
219532683,[[289.4558716]],[[-16.5154419]],[[17.514]],0.245154351,2468.636173,0.141208906,7, J
219535682,[[287.8740234]],[[-16.5076981]],[[18.125]],2.626022502,2471.075319,3.6240942,7, E
219536088,[[287.9560242]],[[-16.5066719]],[[12.955]],29.66510815,2496.336865,1.686106402,7, J
219538579,[[287.5840454]],[[-16.5002117]],[[13.68]],26.44005378,2473.118541,1.211114027,7, J
219539381,[[289.2432556]],[[-16.4981575]],[[13.845]],0.2451161,2468.645941,0.141186873,7, J
219542234,[[288.9263916]],[[-16.4905949]],[[16.565]],0.245116132,2468.643658,0.281989706,7, J
219542296,[[287.9967346]],[[-16.4904423]],[[12.113]],3.921175975,2471.129115,0.457932678,7, J
219545335,[[288.7424927]],[[-16.4826336]],[[14.408]],1.959237745,2469.186663,0.96665299,7, J
219545516,[[289.4231873]],[[-16.4821796]],[[17.336]],0.245116085,2468.645952,0.141186865,7, J
219547603,[[288.1514893]],[[-16.4768448]],[[13.6]],23.80597775,2482.926935,8.339423315,7, J
219549075,[[288.069397]],[[-16.4730225]],[[17.576]],0.245116219,2468.645868,0.141186942,7, J
219549284,[[288.0764771]],[[-16.4724236]],[[14.685]],20.42367866,2479.274086,1.378655349,7, J
219550186,[[289.4903564]],[[-16.4700985]],[[17.355]],1.959839694,2469.16482,1.883628908,7, J
219551990,[[287.0994873]],[[-16.4654465]],[[16.277]],0.245116338,2468.645807,0.141187011,7, J
219555176,[[287.127594]],[[-16.4570694]],[[11.931]],0.939720949,2468.713842,3.479159,7, E
