,tic_id,RA,Dec,Tmag,Period,Epoc,Transit_Depth,Duration,Sectors,Camera,CCD,star_rad,star_mass,teff,logg,SN,Qingress
20673,136778828,305.52956954,35.1177058716,11.9075,0.450711,1684.12813,0.00977,0.06204938336999999,15,1,2,25.4351,,5806.0,,16.75503,0.07823
20676,136778972,305.527331822,35.1572138378,13.412,0.450711,1684.125428,0.00863,0.05623521147,15,1,2,1.10118,1.48,6844.0,4.52461,18.53785,0.05566
20685,136779372,305.605960781,35.2214592084,12.0434,5.809607,1684.611529,0.00833,0.10805869019999999,15,1,2,2.11367,1.77,7593.0,4.03597,12.82855,0.25276
20687,136779436,305.620922901,35.2272578848,13.1649,2.900711,1683.799034,0.01437,0.14918356672999997,15,1,2,11.2402,,4728.0,,17.56167,0.18115
20690,136779487,305.615838599,35.2418688853,11.307,2.900711,1683.799116,0.07097,0.22025098622999997,15,1,2,9.11252,,8597.0,,105.56869,0.42729
20691,136779491,305.588645694,35.2601911919,12.1816,2.899322,1683.810868,0.01754,0.19541430280000002,15,1,2,2.58762,1.33,6507.0,3.73612,49.32378,0.33939
20692,136779580,305.644122072,35.261282986,12.6843,2.899322,1683.810763,0.16616,0.22420457026,15,1,2,,,,,170.50172,0.39855
20694,136779689,305.526358858,35.279792027,11.7904,2.899322,1683.80931,0.30429,0.22226202452000002,15,1,2,,,,,145.49157,0.41068
20697,136779906,305.533299048,35.2937859854,12.4875,0.504878,1683.76288,0.00847,0.07985150448,15,1,2,42.2045,,3849.0,,14.16642,0.15597
20698,13677999,305.630290785,35.2965821226,13.4537,0.345155,1683.765111,0.00079,0.0717163059,15,1,2,0.947655,1.017,5706.0,4.49209,11.1288,0.00058
20700,136780022,305.551165562,35.3059975369,13.2758,0.504878,1683.766063,0.0121,0.06767889590000001,15,1,2,1.61964,1.08,5926.0,4.05265,16.32672,0.1839
20701,136780034,305.547382941,35.3147154237,13.4253,0.504878,1683.764939,0.05723,0.08748021106000001,15,1,2,60.9605,,3696.0,,21.34375,0.34552
20702,136780046,305.518407129,35.3281477295,13.0789,0.504878,1683.765273,0.02173,0.07722109010000001,15,1,2,10.7458,,5320.0,,16.64151,0.16951
20714,13678104,305.630478026,35.4057821084,11.7449,0.64585,1684.258808,0.00553,0.059663623000000006,15,1,2,25.159,,6729.0,,17.2905,0.18358
20716,136781206,305.544959663,35.4298521104,12.8303,1.5646,1685.248575,0.01752,0.126935998,15,1,2,1.98048,0.89,5221.0,3.79392,26.29911,0.17986
