num,tic_id,RA,Dec,Tmag,Period,Epoc,Transit_Depth,Duration,Sectors,Camera,CCD,star_rad,star_mass,teff,logg,SN,Qingress
15,360139152,303.7180905,40.19554035,12.9487,0.295155,1683.753011,0.00721,0.127229514,14,1,1,4.55686,2.26,8960,3.47484,38.40187,-0.69982
16,380721231,303.698858,40.17581335,12.8259,1.549322,1684.035337,0.05482,0.108901843,14,1,1,12.3075,,4687,,31.34779,0.39638
17,84111634,303.7046203,40.07583523,13.0199,0.200711,1683.842221,0.02454,0.043937645,14,1,1,10.7133,,5150,,18.18058,-0.25423
24,198998454,303.7647483,39.37924377,10.3226,0.479183,1684.166914,0.01719,0.032795285,14,1,1,51.5984,,4500,,20.12684,0.22272
39,185600957,303.7611786,37.59678479,13.4203,6.491444,1689.014725,0.00626,0.157807004,14,1,1,1.0806,1.47,6821,4.53806,27.35011,0.5043
42,102851081,303.7259773,37.39629716,12.9736,1.45835,1684.009192,0.44923,0.276138573,14,1,1,2.8003,2.43,9539,3.92927,51.81789,0.09145
67,105404056,303.7994505,36.13303064,13.0213,12.256397,1695.858493,0.73995,0.225272577,14,1,1,,,,,31.8286,0.20234
69,172559083,303.8069879,36.53845617,12.7997,0.493767,1684.086719,0.00206,0.073334275,14,1,1,1.99817,1.59,7149,4.0382,12.03359,0.2063
79,171976674,303.8304634,37.24101725,13.3001,0.146544,1683.692222,0.00085,0.029928681,14,1,1,11.7314,,4659,,9.70221,0.0089
84,43306293,303.8652332,37.86807076,13.1507,1.23335,1684.323859,0.00811,0.081512101,14,1,1,13.7122,,6227,,9.2191,0.16577
111,84490080,303.8469804,40.90530863,12.849,0.666683,1684.17492,0.01509,0.064108237,14,1,1,1.33119,1.16,6142,4.25404,13.07286,0.20416
117,230663927,303.9796896,41.67436005,12.6373,0.850017,1684.120154,0.00397,0.184292186,14,1,1,10.6731,,4721,,15.05437,-0.21067
120,1964868976,304.0353467,41.57380814,13.2535,0.731267,1683.914603,0.00175,0.076541717,14,1,1,29.8347,,4639,,11.95848,0.18045
130,378829059,303.948298,39.639483,10.668,0.407655,1683.729907,0.12089,0.1005318,14,1,1,,,,,38.58083,0.41893
