tic_id,disp_E,disp_N,disp_J,disp_S,disp_B,maxcount
100155892,0,0,0,0,10,10
100155900,0,0,0,0,10,10
10000751628,0,0,10,0,0,10
100156266,1,0,8,0,1,8
100156439,0,0,10,0,0,10
10000751947,10,0,0,0,0,10
10000751948,10,0,0,0,0,10
10000751954,10,0,0,0,0,10
10000751957,10,0,0,0,0,10
100156525,0,0,10,0,0,10
10000905280,10,0,0,0,0,10
10000920514,0,0,10,0,0,10
10001414724,10,0,0,0,0,10
100097039,10,0,0,0,0,10
100097191,10,0,0,0,0,10
100097205,10,0,0,0,0,10
100157098,10,0,0,0,0,10
100155788,0,0,10,0,0,10
100157409,0,0,4,0,6,6
100157443,0,0,6,0,4,6
100157505,0,0,9,0,1,9
100159066,8,0,2,0,0,8
100159087,10,0,0,0,0,10
100159206,10,0,0,0,0,10
100159289,0,0,0,0,10,10
100159419,0,0,10,0,0,10
100159751,0,0,10,0,0,10
100160219,0,0,10,0,0,10
100160236,0,0,3,0,7,7
100160381,0,0,10,0,0,10
100160505,0,0,10,0,0,10
100160523,0,0,10,0,0,10
100160573,0,0,9,0,1,9
100161765,0,0,0,0,10,10
100161796,0,0,0,0,10,10
100162040,0,0,0,0,10,10
100162079,0,0,0,0,10,10
100162902,10,0,0,0,0,10
100162920,0,0,10,0,0,10
100162939,0,0,10,0,0,10
100163136,0,0,10,0,0,10
100163144,0,0,10,0,0,10
100163618,0,0,10,0,0,10
100163870,0,0,10,0,0,10
100164262,0,0,10,0,0,10
100164628,0,0,9,0,1,9
100164915,0,0,10,0,0,10
100165011,0,0,10,0,0,10
100165164,0,0,10,0,0,10
100165206,2,0,7,0,1,7
100165399,0,0,10,0,0,10
100165818,0,0,1,0,9,9
100165983,0,0,10,0,0,10
100166257,0,0,10,0,0,10
100166400,0,0,10,0,0,10
100167801,0,0,10,0,0,10
100167891,0,0,10,0,0,10
100167982,10,0,0,0,0,10
100168009,10,0,0,0,0,10
100168744,0,0,10,0,0,10
100169103,10,0,0,0,0,10
100169322,0,0,10,0,0,10
100169739,0,0,10,0,0,10
100169746,0,0,10,0,0,10
100170337,0,0,10,0,0,10
100170438,9,0,1,0,0,9
100170536,0,0,10,0,0,10
100170564,0,0,10,0,0,10
100170861,0,0,10,0,0,10
100230784,0,0,10,0,0,10
100230857,0,0,10,0,0,10
100231062,0,0,10,0,0,10
100231092,0,0,10,0,0,10
100231173,0,0,10,0,0,10
100231511,0,0,10,0,0,10
100231800,10,0,0,0,0,10
100231852,10,0,0,0,0,10
100231896,10,0,0,0,0,10
100231907,10,0,0,0,0,10
100231962,0,0,10,0,0,10
100231977,0,0,0,0,10,10
100232116,0,0,0,0,10,10
100232561,0,0,0,0,10,10
100232562,10,0,0,0,0,10
100232563,0,0,0,0,10,10
100232599,0,0,3,0,7,7
100232659,10,0,0,0,0,10
100232767,0,0,10,0,0,10
100232785,0,0,4,0,6,6
100232878,0,0,10,0,0,10
100232938,10,0,0,0,0,10
100232949,10,0,0,0,0,10
100232952,10,0,0,0,0,10
100232959,0,0,10,0,0,10
100232977,0,0,10,0,0,10
100233005,10,0,0,0,0,10
100233282,0,0,10,0,0,10
100233389,10,0,0,0,0,10
100233449,7,0,3,0,0,7
100233456,10,0,0,0,0,10
100233495,10,0,0,0,0,10
100233544,10,0,0,0,0,10
100233565,10,0,0,0,0,10
