#             ID,KIC,Period,T0-2454900,Duration,Depth,DISP,KepMag,P1/P2,dT0/P,Pmatch(σ),Tmatch(σ),Dmatch(σ),"Sep("")",Chan0,Mod0,Out0,Row0,Col0,Chan1,Mod1,Out1,Row1,Col1,Chan2,Mod2,Out2,Row2,Col2,Chan3,Mod3,Out3,Row3,Col3
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3860.01,9641008,2.178172,65.02025,1.867,0.000346,KOI,14.489,2,0,0.674,3.352,1,164,62,18,2,790,626,46,14,2,795,626,22,8,2,794,621,38,12,2,789,621
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4177.01,9640962,1.089079,65.022,2.7,0.000146,KOI,15.472,0.5,0,4.574,3.101,1,59.5,62,18,2,831,635,46,14,2,835,635,22,8,2,834,631,38,12,2,829,631
4239.01,9640924,2.178153,65.0241,1.91,0.000119,KOI,14.975,2,0,0.674,3.301,1,59.5,62,18,2,830,620,46,14,2,835,620,22,8,2,833,616,38,12,2,829,616
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4177.01,9640962,1.089079,65.022,2.7,0.000146,KOI,15.472,0.5,0,4.619,2.677,1,164,62,18,2,831,635,46,14,2,835,635,22,8,2,834,631,38,12,2,829,631
009641008-pri,9641008,2.178154,65.03009,3.032,0.0007,KEB,14.489,2,0,0.674,2.901,1,164,62,18,2,790,626,46,14,2,795,626,22,8,2,794,621,38,12,2,789,621
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4177.01,9640962,1.089079,65.022,2.7,0.000146,KOI,15.472,0.5,10,4.619,3.199,1,122.6,62,18,2,831,635,46,14,2,835,635,22,8,2,834,631,38,12,2,829,631
009641031-pri,9641031,2.178154,54.132713,3.1679,0.3801,KEB,9.177,2,-5,0.674,3.397,1,122.6,62,18,2,800,640,46,14,2,805,641,22,8,2,804,636,38,12,2,799,636
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4177.01,9640962,1.089079,65.022,2.7,0.000146,KOI,15.472,0.5,-2,4.675,3.173,1,72.6,62,18,2,831,635,46,14,2,835,635,22,8,2,834,631,38,12,2,829,631
1504.01,9641018,2.178155,67.2018,2.5317,0.00043,KOI,14.07,2,1,0.674,3.369,1,72.6,62,18,2,821,650,46,14,2,825,651,22,8,2,824,646,38,12,2,819,646
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4177.01,9640962,1.089079,65.022,2.7,0.000146,KOI,15.472,0.5,-36,4.389,2.917,1,33.5,62,18,2,831,635,46,14,2,835,635,22,8,2,834,631,38,12,2,829,631
712.01,9640976,2.178146,104.2327,2.1768,0.000173,KOI,13.72,2,18,0.674,3.11,1,33.5,62,18,2,835,642,46,14,2,840,643,22,8,2,838,638,38,12,2,833,638
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4177.01,9640962,1.089079,65.022,2.7,0.000146,KOI,15.472,0.5,-36,4.483,3.059,1,73,62,18,2,831,635,46,14,2,835,635,22,8,2,834,631,38,12,2,829,631
713.01,9640985,2.17815,104.23127,2.4795,0.000513,KOI,13.835,2,18,0.674,3.244,1,73,62,18,2,813,631,46,14,2,818,631,22,8,2,816,626,38,12,2,811,626
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4177.01,9640962,1.089079,65.022,2.7,0.000146,KOI,15.472,0.5,58,4.614,3.319,1,122.6,62,18,2,831,635,46,14,2,835,635,22,8,2,834,631,38,12,2,829,631
FL-Lyr-pri,9641031,2.178154,1.856398,0,0.435063,GEB,9.177,2,-29,0.674,3.543,1,122.6,62,18,2,800,640,46,14,2,805,641,22,8,2,804,636,38,12,2,799,636
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4177.01,9640962,1.089079,65.022,2.7,0.000146,KOI,15.472,0.5,59,4.64,2.948,1,122.6,62,18,2,831,635,46,14,2,835,635,22,8,2,834,631,38,12,2,829,631
FL-Lyr-sec,9641031,2.178154,0.769818,0,0.205672,GEB,9.177,2,-29.5,0.674,0.677,1,122.6,62,18,2,800,640,46,14,2,805,641,22,8,2,804,636,38,12,2,799,636
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4177.01,9640962,1.089079,65.022,2.7,0.000146,KOI,15.472,0.5,9,4.619,3.554,1,122.6,62,18,2,831,635,46,14,2,835,635,22,8,2,834,631,38,12,2,829,631
009641031-sec,9641031,2.178154,55.220701,3.147,0.1715,KEB,9.177,2,-4.5,0.674,0.675,1,122.6,62,18,2,800,640,46,14,2,805,641,22,8,2,804,636,38,12,2,799,636
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4177.01,9640962,1.089079,65.022,2.7,0.000146,KOI,15.472,1,0,4.094,2.242,1,31.7,62,18,2,831,635,46,14,2,835,635,22,8,2,834,631,38,12,2,829,631
4542.01,9640946,1.089033,65.0492,1.66,0.000074,KOI,14.959,1,0,4.094,2.242,1,31.7,62,18,2,838,632,46,14,2,843,632,22,8,2,841,628,38,12,2,837,628
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4177.01,9640962,1.089079,65.022,2.7,0.000146,KOI,15.472,1,0,4.12,2.429,1,101.4,62,18,2,831,635,46,14,2,835,635,22,8,2,834,631,38,12,2,829,631
4172.01,9640907,1.089038,65.0385,2.42,0.000165,KOI,15.693,1,0,4.12,2.429,1,101.4,62,18,2,830,610,46,14,2,835,610,22,8,2,833,605,38,12,2,829,605
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4177.01,9640962,1.089079,65.022,2.7,0.000146,KOI,15.472,1,-36,4.855,3.195,1,181,62,18,2,831,635,46,14,2,835,635,22,8,2,834,631,38,12,2,829,631
324.01,9641041,1.089078,104.23037,2.4867,0.000158,KOI,12.217,1,36,4.855,3.186,1,181,62,18,2,785,633,46,14,2,790,633,22,8,2,788,628,38,12,2,784,629
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4262.01,9641144,1.089097,65.019,1.96,0.000044,KOI,13.938,0.5,0,4.11,3.263,1,162,62,18,2,774,675,46,14,2,779,676,22,8,2,778,671,38,12,2,773,671
4250.01,9641076,2.178151,65.0178,2.96,0.00011,KOI,15.123,2,0,0.675,3.455,1,162,62,18,2,815,673,46,14,2,820,673,22,8,2,818,668,38,12,2,814,669
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4262.01,9641144,1.089097,65.019,1.96,0.000044,KOI,13.938,0.5,10,4.127,2.855,1,173.5,62,18,2,774,675,46,14,2,779,676,22,8,2,778,671,38,12,2,773,671
009641031-pri,9641031,2.178154,54.132713,3.1679,0.3801,KEB,9.177,2,-5,0.675,3.082,1,173.5,62,18,2,800,640,46,14,2,805,641,22,8,2,804,636,38,12,2,799,636
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4262.01,9641144,1.089097,65.019,1.96,0.000044,KOI,13.938,0.5,58,4.127,2.833,1,173.5,62,18,2,774,675,46,14,2,779,676,22,8,2,778,671,38,12,2,773,671
FL-Lyr-pri,9641031,2.178154,1.856398,0,0.435063,GEB,9.177,2,-29,0.675,3.126,1,173.5,62,18,2,800,640,46,14,2,805,641,22,8,2,804,636,38,12,2,799,636
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4262.01,9641144,1.089097,65.019,1.96,0.000044,KOI,13.938,0.5,59,4.129,2.7,1,173.5,62,18,2,774,675,46,14,2,779,676,22,8,2,778,671,38,12,2,773,671
FL-Lyr-sec,9641031,2.178154,0.769818,0,0.205672,GEB,9.177,2,-29.5,0.675,0.679,1,173.5,62,18,2,800,640,46,14,2,805,641,22,8,2,804,636,38,12,2,799,636
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4262.01,9641144,1.089097,65.019,1.96,0.000044,KOI,13.938,0.5,9,4.127,2.94,1,173.5,62,18,2,774,675,46,14,2,779,676,22,8,2,778,671,38,12,2,773,671
009641031-sec,9641031,2.178154,55.220701,3.147,0.1715,KEB,9.177,2,-4.5,0.675,0.677,1,173.5,62,18,2,800,640,46,14,2,805,641,22,8,2,804,636,38,12,2,799,636
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4262.01,9641144,1.089097,65.019,1.96,0.000044,KOI,13.938,1,-36,4.293,2.915,1,174.2,62,18,2,774,675,46,14,2,779,676,22,8,2,778,671,38,12,2,773,671
324.01,9641041,1.089078,104.23037,2.4867,0.000158,KOI,12.217,1,36,4.293,2.863,1,174.2,62,18,2,785,633,46,14,2,790,633,22,8,2,788,628,38,12,2,784,629
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1071.01,8244190,1.092069,66.1925,1.7717,0.000224,KOI,14.495,0.5,-201,4.525,3.287,1,13.7,26,9,2,994,460,18,7,2,996,456,58,17,2,991,455,66,19,2,991,460
008244173-pri,8244173,2.184132,285.699534,2.1125,0.4004,KEB,15.896,2,100.5,0.674,0.676,1,13.7,26,9,2,991,457,18,7,2,994,453,58,17,2,988,453,66,19,2,989,458
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1071.01,8244190,1.092069,66.1925,1.7717,0.000224,KOI,14.495,0.5,-202,4.525,3.546,1,13.7,26,9,2,994,460,18,7,2,996,456,58,17,2,991,455,66,19,2,991,460
008244173-sec,8244173,2.184132,286.790071,2.296,0.3913,KEB,15.896,2,101,0.674,3.869,1,13.7,26,9,2,991,457,18,7,2,994,453,58,17,2,988,453,66,19,2,989,458
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1071.01,8244190,1.092069,66.1925,1.7717,0.000224,KOI,14.495,1,1,4.502,2.611,1,13.7,26,9,2,994,460,18,7,2,996,456,58,17,2,991,455,66,19,2,991,460
3545.01,8244173,1.092077,65.09056,1.5,0.437025,KOI,15.896,1,-1,4.502,2.611,1,13.7,26,9,2,991,457,18,7,2,994,453,58,17,2,988,453,66,19,2,989,458
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3545.01,8244173,1.092077,65.09056,1.5,0.437025,KOI,15.896,1,-1,4.502,2.611,1,13.7,26,9,2,991,457,18,7,2,994,453,58,17,2,988,453,66,19,2,989,458
1071.01,8244190,1.092069,66.1925,1.7717,0.000224,KOI,14.495,1,1,4.502,2.611,1,13.7,26,9,2,994,460,18,7,2,996,456,58,17,2,991,455,66,19,2,991,460
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1823.02,10092312,1.096577,65.5159,1.164,0.000151,KOI,13.954,1,-1,4.507,3.284,1,9.9,49,15,1,971,859,5,3,1,971,863,33,11,1,969,862,77,23,1,967,859
1080.01,10158990,1.096584,66.6136,2.0671,0.000306,KOI,14.867,1,1,4.507,3.286,1,9.9,49,15,1,972,861,5,3,1,972,865,33,11,1,970,865,77,23,1,968,861
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1080.01,10158990,1.096584,66.6136,2.0671,0.000306,KOI,14.867,1,1,4.507,3.286,1,9.9,49,15,1,972,861,5,3,1,972,865,33,11,1,970,865,77,23,1,968,861
1823.02,10092312,1.096577,65.5159,1.164,0.000151,KOI,13.954,1,-1,4.507,3.284,1,9.9,49,15,1,971,859,5,3,1,971,863,33,11,1,969,862,77,23,1,967,859
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3773.01,10268903,1.103964,64.584636,0.739,0.058223,KOI,17.362,1,-202,4.637,2.986,1,6,61,18,1,971,197,45,14,1,978,197,21,8,1,975,202,37,12,1,971,202
1077.01,10268907,1.103968,287.5823,0.9771,0.000313,KOI,15.732,1,202,4.637,2.916,1,6,61,18,1,970,197,45,14,1,977,197,21,8,1,974,202,37,12,1,969,202
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1077.01,10268907,1.103968,287.5823,0.9771,0.000313,KOI,15.732,1,170,4.754,3.011,1,6,61,18,1,970,197,45,14,1,977,197,21,8,1,974,202,37,12,1,969,202
010268903-pri,10268903,1.103966,99.910577,1.1923,0.0592,KEB,17.362,1,-170,4.754,3.054,1,6,61,18,1,971,197,45,14,1,978,197,21,8,1,975,202,37,12,1,971,202
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1077.01,10268907,1.103968,287.5823,0.9771,0.000313,KOI,15.732,1,202,4.637,2.916,1,6,61,18,1,970,197,45,14,1,977,197,21,8,1,974,202,37,12,1,969,202
3773.01,10268903,1.103964,64.584636,0.739,0.058223,KOI,17.362,1,-202,4.637,2.986,1,6,61,18,1,971,197,45,14,1,978,197,21,8,1,975,202,37,12,1,971,202
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4408.01,10736179,1.105071,65.5528,1.73,0.000142,KOI,15.815,1,0,4.256,2.703,1,46.5,65,19,1,183,318,25,9,1,187,318,17,7,1,187,323,57,17,1,182,323
010736223-pri,10736223,1.105094,65.545214,2.944,0.7017,KEB,13.651,1,0,4.256,2.703,1,46.5,65,19,1,174,311,25,9,1,178,310,17,7,1,178,316,57,17,1,173,316
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4408.01,10736179,1.105071,65.5528,1.73,0.000142,KOI,15.815,1,59,4.274,2.696,1,46.5,65,19,1,183,318,25,9,1,187,318,17,7,1,187,323,57,17,1,182,323
V2290-Cyg-pri,10736223,1.105092,0.345858,0,0.777156,GEB,13.651,1,-59,4.274,2.754,1,46.5,65,19,1,174,311,25,9,1,178,310,17,7,1,178,316,57,17,1,173,316
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4125.01,9099950,1.111434,65.2722,3.3,0.000039,KOI,12.845,1,0,3.997,2.22,1,163.6,48,14,4,501,231,24,8,4,501,235,40,12,4,505,234,64,18,4,506,231
009164694-pri,9164694,1.111363,65.3016,4.8438,0.3884,KEB,14.175,1,0,3.997,2.219,1,163.6,48,14,4,460,231,24,8,4,460,235,40,12,4,463,234,64,18,4,465,231
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4870.01,4665991,1.124091,64.6202,1.81,0.000048,KOI,14.665,0.5,-1,3.885,2.71,1,35.6,6,3,2,999,1013,34,11,2,997,1013,78,23,2,996,1017,50,15,2,1000,1017
004665989-pri,4665989,2.248067,65.751847,4.4026,0.29,KEB,13.016,2,0.5,0.675,0.68,1,35.6,6,3,2,1007,1017,34,11,2,1005,1018,78,23,2,1004,1022,50,15,2,1007,1022
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4870.01,4665991,1.124091,64.6202,1.81,0.000048,KOI,14.665,0.5,-1,4.01,3.653,1,44.7,6,3,2,999,1013,34,11,2,997,1013,78,23,2,996,1017,50,15,2,1000,1017
3872.01,4666008,2.248114,65.744,2.847,0.000279,KOI,14.434,2,0.5,0.675,0.675,1,44.7,6,3,2,1011,1014,34,11,2,1008,1015,78,23,2,1007,1019,50,15,2,1011,1019
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4870.01,4665991,1.124091,64.6202,1.81,0.000048,KOI,14.665,0.5,-2,3.885,2.602,1,35.6,6,3,2,999,1013,34,11,2,997,1013,78,23,2,996,1017,50,15,2,1000,1017
004665989-sec,4665989,2.248067,66.878803,4.4188,0.1937,KEB,13.016,2,1,0.675,2.828,1,35.6,6,3,2,1007,1017,34,11,2,1005,1018,78,23,2,1004,1022,50,15,2,1007,1022
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4534.01,7699298,1.15778,65.453,3,0.000027,KOI,13.548,1,0,4.003,2.022,1,617.8,28,9,4,648,733,20,7,4,646,736,60,17,4,652,737,68,19,4,654,734
3706.01,7770471,1.157853,65.403061,1.5,0.60146,KOI,14.62,1,0,4.003,2.022,1,617.8,28,9,4,493,734,20,7,4,491,737,60,17,4,496,737,68,19,4,499,734
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4534.01,7699298,1.15778,65.453,3,0.000027,KOI,13.548,1,-192,4.232,2.973,1,607.2,28,9,4,648,733,20,7,4,646,736,60,17,4,652,737,68,19,4,654,734
1467.01,7770450,1.157807,287.74335,2.6283,0.00091,KOI,15.837,1,192,4.232,2.679,1,607.2,28,9,4,496,737,20,7,4,494,740,60,17,4,499,741,68,19,4,501,738
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4534.01,7699298,1.15778,65.453,3,0.000027,KOI,13.548,1,-30,4.248,3.109,1,617.8,28,9,4,648,733,20,7,4,646,736,60,17,4,652,737,68,19,4,654,734
007770471-pri,7770471,1.157805,100.184228,3.1566,0.5956,KEB,14.62,1,30,4.248,3.02,1,617.8,28,9,4,493,734,20,7,4,491,737,60,17,4,496,737,68,19,4,499,734
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1467.01,7770450,1.157807,287.74335,2.6283,0.00091,KOI,15.837,1,162,4.804,2.819,1,17.7,28,9,4,496,737,20,7,4,494,740,60,17,4,499,741,68,19,4,501,738
007770471-pri,7770471,1.157805,100.184228,3.1566,0.5956,KEB,14.62,1,-162,4.804,2.836,1,17.7,28,9,4,493,734,20,7,4,491,737,60,17,4,496,737,68,19,4,499,734
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1467.01,7770450,1.157807,287.74335,2.6283,0.00091,KOI,15.837,1,192,4.11,2.1,1,17.7,28,9,4,496,737,20,7,4,494,740,60,17,4,499,741,68,19,4,501,738
3706.01,7770471,1.157853,65.403061,1.5,0.60146,KOI,14.62,1,-192,4.11,2.195,1,17.7,28,9,4,493,734,20,7,4,491,737,60,17,4,496,737,68,19,4,499,734
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1467.01,7770450,1.157807,287.74335,2.6283,0.00091,KOI,15.837,1,192,4.232,2.679,1,607.2,28,9,4,496,737,20,7,4,494,740,60,17,4,499,741,68,19,4,501,738
4534.01,7699298,1.15778,65.453,3,0.000027,KOI,13.548,1,-192,4.232,2.973,1,607.2,28,9,4,648,733,20,7,4,646,736,60,17,4,652,737,68,19,4,654,734
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3706.01,7770471,1.157853,65.403061,1.5,0.60146,KOI,14.62,1,0,4.003,2.022,1,617.8,28,9,4,493,734,20,7,4,491,737,60,17,4,496,737,68,19,4,499,734
4534.01,7699298,1.15778,65.453,3,0.000027,KOI,13.548,1,0,4.003,2.022,1,617.8,28,9,4,648,733,20,7,4,646,736,60,17,4,652,737,68,19,4,654,734
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3706.01,7770471,1.157853,65.403061,1.5,0.60146,KOI,14.62,1,-192,4.11,2.195,1,17.7,28,9,4,493,734,20,7,4,491,737,60,17,4,496,737,68,19,4,499,734
1467.01,7770450,1.157807,287.74335,2.6283,0.00091,KOI,15.837,1,192,4.11,2.1,1,17.7,28,9,4,496,737,20,7,4,494,740,60,17,4,499,741,68,19,4,501,738
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8.01,5903312,1.160156,54.70172,1.649,0.000399,KOI,12.45,0.5,-42,4.326,3.264,1,8,11,4,3,953,638,15,6,3,958,637,75,22,3,955,642,71,20,3,954,643
005903301-pri,5903301,2.32033,103.427007,1.5203,0.0068,KEB,15.149,2,21,0.674,3.386,1,8,11,4,3,955,639,15,6,3,960,639,75,22,3,957,644,71,20,3,956,644
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8.01,5903312,1.160156,54.70172,1.649,0.000399,KOI,12.45,0.5,-43,4.326,3.486,1,8,11,4,3,953,638,15,6,3,958,637,75,22,3,955,642,71,20,3,954,643
005903301-sec,5903301,2.32033,104.587868,1.6706,0.0066,KEB,15.149,2,21.5,0.674,0.675,1,8,11,4,3,955,639,15,6,3,960,639,75,22,3,957,644,71,20,3,956,644
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8.01,5903312,1.160156,54.70172,1.649,0.000399,KOI,12.45,1,-9,4.351,2.807,1,8,11,4,3,953,638,15,6,3,958,637,75,22,3,955,642,71,20,3,954,643
3692.01,5903301,1.160172,65.137333,1.524,0.010652,KOI,15.149,1,9,4.351,2.8,1,8,11,4,3,955,639,15,6,3,960,639,75,22,3,957,644,71,20,3,956,644
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3692.01,5903301,1.160172,65.137333,1.524,0.010652,KOI,15.149,1,9,4.351,2.8,1,8,11,4,3,955,639,15,6,3,960,639,75,22,3,957,644,71,20,3,956,644
8.01,5903312,1.160156,54.70172,1.649,0.000399,KOI,12.45,1,-9,4.351,2.807,1,8,11,4,3,953,638,15,6,3,958,637,75,22,3,955,642,71,20,3,954,643
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3769.01,6543683,1.195503,65.30847,2.434,0.00106,KOI,13.998,0.5,0,4.25,2.879,1,11.6,10,4,2,208,962,14,6,2,203,962,74,22,2,203,967,70,20,2,207,968
006543674-pri,6543674,2.391031,65.303708,4.5219,0.3745,KEB,13.535,2,0,0.674,3.091,1,11.6,10,4,2,205,962,14,6,2,200,962,74,22,2,200,966,70,20,2,205,968
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3769.01,6543683,1.195503,65.30847,2.434,0.00106,KOI,13.998,0.5,-1,4.25,2.971,1,11.6,10,4,2,208,962,14,6,2,203,962,74,22,2,203,967,70,20,2,207,968
006543674-sec,6543674,2.391031,66.500419,4.6309,0.3763,KEB,13.535,2,0.5,0.674,0.677,1,11.6,10,4,2,205,962,14,6,2,200,962,74,22,2,200,966,70,20,2,205,968
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3769.01,6543683,1.195503,65.30847,2.434,0.00106,KOI,13.998,1,0,4.471,2.697,1,33.6,10,4,2,208,962,14,6,2,203,962,74,22,2,203,967,70,20,2,207,968
4679.01,6543645,1.195512,65.3001,3.2,0.000026,KOI,13.45,1,0,4.471,2.697,1,33.6,10,4,2,212,970,14,6,2,207,970,74,22,2,207,974,70,20,2,211,976
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4679.01,6543645,1.195512,65.3001,3.2,0.000026,KOI,13.45,0.5,0,4.532,2.966,1,40.3,10,4,2,212,970,14,6,2,207,970,74,22,2,207,974,70,20,2,211,976
006543674-pri,6543674,2.391031,65.303708,4.5219,0.3745,KEB,13.535,2,0,0.674,3.173,1,40.3,10,4,2,205,962,14,6,2,200,962,74,22,2,200,966,70,20,2,205,968
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4679.01,6543645,1.195512,65.3001,3.2,0.000026,KOI,13.45,0.5,-1,4.532,2.877,1,40.3,10,4,2,212,970,14,6,2,207,970,74,22,2,207,974,70,20,2,211,976
006543674-sec,6543674,2.391031,66.500419,4.6309,0.3763,KEB,13.535,2,0.5,0.674,0.678,1,40.3,10,4,2,205,962,14,6,2,200,962,74,22,2,200,966,70,20,2,205,968
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4679.01,6543645,1.195512,65.3001,3.2,0.000026,KOI,13.45,1,0,4.471,2.697,1,33.6,10,4,2,212,970,14,6,2,207,970,74,22,2,207,974,70,20,2,211,976
3769.01,6543683,1.195503,65.30847,2.434,0.00106,KOI,13.998,1,0,4.471,2.697,1,33.6,10,4,2,208,962,14,6,2,203,962,74,22,2,203,967,70,20,2,207,968
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3218.01,10191036,1.213691,64.7597,1.3,0.000026,KOI,12.107,0.5,52,3.874,2.618,1,66.2,73,22,1,417,591,69,20,1,422,591,9,4,1,422,596,13,6,1,417,596
T-Lyr1-00687-sec,10191056,2.427512,1.63704,0,0.190159,GEB,10.811,2,-26,0.675,2.965,1,66.2,73,22,1,400,593,69,20,1,405,592,9,4,1,406,597,13,6,1,401,597
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3218.01,10191036,1.213691,64.7597,1.3,0.000026,KOI,12.107,0.5,53,3.874,2.593,1,66.2,73,22,1,417,591,69,20,1,422,591,9,4,1,422,596,13,6,1,417,596
T-Lyr1-00687-pri,10191056,2.427512,0.422528,0,0.190159,GEB,10.811,2,-26.5,0.675,0.68,1,66.2,73,22,1,400,593,69,20,1,405,592,9,4,1,406,597,13,6,1,401,597
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3218.01,10191036,1.213691,64.7597,1.3,0.000026,KOI,12.107,0.5,7,3.908,2.472,1,66.2,73,22,1,417,591,69,20,1,422,591,9,4,1,422,596,13,6,1,417,596
010191056-sec,10191056,2.427495,56.247567,4.4744,0.1846,KEB,10.811,2,-3.5,0.675,0.685,1,66.2,73,22,1,400,593,69,20,1,405,592,9,4,1,406,597,13,6,1,401,597
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3218.01,10191036,1.213691,64.7597,1.3,0.000026,KOI,12.107,0.5,8,3.908,2.412,1,66.2,73,22,1,417,591,69,20,1,422,591,9,4,1,422,596,13,6,1,417,596
010191056-pri,10191056,2.427495,55.030907,4.6608,0.1831,KEB,10.811,2,-4,0.675,2.663,1,66.2,73,22,1,400,593,69,20,1,405,592,9,4,1,406,597,13,6,1,401,597
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3218.01,10191036,1.213691,64.7597,1.3,0.000026,KOI,12.107,1,-32,4.082,2.482,1,72.8,73,22,1,417,591,69,20,1,422,591,9,4,1,422,596,13,6,1,417,596
727.01,10191070,1.213745,103.58195,4.0443,0.002183,KOI,15.825,1,32,4.082,2.445,1,72.8,73,22,1,399,586,69,20,1,404,585,9,4,1,405,591,13,6,1,400,591
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
727.01,10191070,1.213745,103.58195,4.0443,0.002183,KOI,15.825,0.5,39,4.614,3.199,1,26.5,73,22,1,399,586,69,20,1,404,585,9,4,1,405,591,13,6,1,400,591
010191056-sec,10191056,2.427495,56.247567,4.4744,0.1846,KEB,10.811,2,-19.5,0.674,0.676,1,26.5,73,22,1,400,593,69,20,1,405,592,9,4,1,406,597,13,6,1,401,597
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
727.01,10191070,1.213745,103.58195,4.0443,0.002183,KOI,15.825,0.5,40,4.614,3.285,1,26.5,73,22,1,399,586,69,20,1,404,585,9,4,1,405,591,13,6,1,400,591
010191056-pri,10191056,2.427495,55.030907,4.6608,0.1831,KEB,10.811,2,-20,0.674,3.497,1,26.5,73,22,1,400,593,69,20,1,405,592,9,4,1,406,597,13,6,1,401,597
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
727.01,10191070,1.213745,103.58195,4.0443,0.002183,KOI,15.825,0.5,84,4.289,2.653,1,26.5,73,22,1,399,586,69,20,1,404,585,9,4,1,405,591,13,6,1,400,591
T-Lyr1-00687-sec,10191056,2.427512,1.63704,0,0.190159,GEB,10.811,2,-42,0.674,2.851,1,26.5,73,22,1,400,593,69,20,1,405,592,9,4,1,406,597,13,6,1,401,597
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
727.01,10191070,1.213745,103.58195,4.0443,0.002183,KOI,15.825,0.5,85,4.289,2.681,1,26.5,73,22,1,399,586,69,20,1,404,585,9,4,1,405,591,13,6,1,400,591
T-Lyr1-00687-pri,10191056,2.427512,0.422528,0,0.190159,GEB,10.811,2,-42.5,0.674,0.681,1,26.5,73,22,1,400,593,69,20,1,405,592,9,4,1,406,597,13,6,1,401,597
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
727.01,10191070,1.213745,103.58195,4.0443,0.002183,KOI,15.825,1,32,4.082,2.445,1,72.8,73,22,1,399,586,69,20,1,404,585,9,4,1,405,591,13,6,1,400,591
