#             ID,KIC,Period,T0-2454900,Duration,Depth,DISP,KepMag,P1/P2,dT0/P,Pmatch(σ),Tmatch(σ),Dmatch(σ),"Sep("")",Chan0,Mod0,Out0,Row0,Col0,Chan1,Mod1,Out1,Row1,Col1,Chan2,Mod2,Out2,Row2,Col2,Chan3,Mod3,Out3,Row3,Col3
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1565.01,5636648,0.466743,66.97103,1.0284,0.000909,KOI,15.33,0.5,-71,4.17,2.228,1,6.3,9,4,1,648,83,13,6,1,644,83,73,22,1,643,78,69,20,1,648,78
005636642-sec,5636642,0.9335,100.097701,1.2031,0.012,KEB,16.428,2,35.5,0.675,0.696,1,6.3,9,4,1,647,81,13,6,1,643,82,73,22,1,642,77,69,20,1,647,76
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2953.01,6778019,0.472915,64.6198,1.8112,0.000095,KOI,14.762,0.5,-1,3.948,2.193,1,9.5,21,8,1,661,785,37,12,1,657,785,61,18,1,658,781,45,14,1,664,780
4373.01,6778008,0.945793,65.1061,1.4,0.000086,KOI,15.263,2,0.5,0.675,0.697,1,9.5,21,8,1,659,785,37,12,1,654,785,61,18,1,655,780,45,14,1,661,780
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2953.01,6778019,0.472915,64.6198,1.8112,0.000095,KOI,14.762,0.5,-2,4.58,3.55,1,21.1,21,8,1,661,785,37,12,1,657,785,61,18,1,658,781,45,14,1,664,780
006778050-pri,6778050,0.945828,65.565448,2.0952,0.287,KEB,14.514,2,1,0.674,3.732,1,21.1,21,8,1,661,790,37,12,1,656,790,61,18,1,657,786,45,14,1,663,786
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2953.01,6778019,0.472915,64.6198,1.8112,0.000095,KOI,14.762,0.5,-3,4.58,3.426,1,21.1,21,8,1,661,785,37,12,1,657,785,61,18,1,658,781,45,14,1,664,780
006778050-sec,6778050,0.945828,66.038835,2.0997,0.2426,KEB,14.514,2,1.5,0.674,0.675,1,21.1,21,8,1,661,790,37,12,1,656,790,61,18,1,657,786,45,14,1,663,786
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2574.01,9474493,0.512581,65.8067,1.5608,0.000263,KOI,15.338,0.5,0,4.722,2.831,1,17.3,48,14,4,344,691,24,8,4,344,695,40,12,4,348,695,64,18,4,349,691
009474485-sec,9474485,1.025163,65.804322,1.9437,0.3678,KEB,14.884,2,0,0.674,3.046,1,17.3,48,14,4,343,695,24,8,4,343,699,40,12,4,347,699,64,18,4,348,695
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2574.01,9474493,0.512581,65.8067,1.5608,0.000263,KOI,15.338,0.5,1,4.722,2.875,1,17.3,48,14,4,344,691,24,8,4,344,695,40,12,4,348,695,64,18,4,349,691
009474485-pri,9474485,1.025163,65.292048,1.8945,0.3867,KEB,14.884,2,-0.5,0.674,0.678,1,17.3,48,14,4,343,695,24,8,4,343,699,40,12,4,347,699,64,18,4,348,695
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2574.01,9474493,0.512581,65.8067,1.5608,0.000263,KOI,15.338,1,2,4.291,2.407,1,8.9,48,14,4,344,691,24,8,4,344,695,40,12,4,348,695,64,18,4,349,691
4697.01,9474483,0.51259,64.7733,1.45,0.000097,KOI,15.484,1,-2,4.291,2.408,1,8.9,48,14,4,346,691,24,8,4,346,695,40,12,4,350,695,64,18,4,351,691
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4697.01,9474483,0.51259,64.7733,1.45,0.000097,KOI,15.484,0.5,-1,4.151,2.512,1,20.9,48,14,4,346,691,24,8,4,346,695,40,12,4,350,695,64,18,4,351,691
009474485-pri,9474485,1.025163,65.292048,1.8945,0.3867,KEB,14.884,2,0.5,0.675,0.684,1,20.9,48,14,4,343,695,24,8,4,343,699,40,12,4,347,699,64,18,4,348,695
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4697.01,9474483,0.51259,64.7733,1.45,0.000097,KOI,15.484,0.5,-2,4.151,2.53,1,20.9,48,14,4,346,691,24,8,4,346,695,40,12,4,350,695,64,18,4,351,691
009474485-sec,9474485,1.025163,65.804322,1.9437,0.3678,KEB,14.884,2,1,0.675,2.764,1,20.9,48,14,4,343,695,24,8,4,343,699,40,12,4,347,699,64,18,4,348,695
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4697.01,9474483,0.51259,64.7733,1.45,0.000097,KOI,15.484,1,-2,4.291,2.408,1,8.9,48,14,4,346,691,24,8,4,346,695,40,12,4,350,695,64,18,4,351,691
2574.01,9474493,0.512581,65.8067,1.5608,0.000263,KOI,15.338,1,2,4.291,2.407,1,8.9,48,14,4,344,691,24,8,4,344,695,40,12,4,348,695,64,18,4,349,691
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1497.01,11774387,0.520223,111.14683,1.1741,0.000449,KOI,15.632,1,21,4.511,2.312,1,5.1,72,20,4,359,787,12,4,4,357,791,16,6,4,363,792,76,22,4,361,786
011774383-pri,11774383,0.520226,100.211333,1.3609,0.0144,KEB,19.174,1,-21,4.511,2.314,1,5.1,72,20,4,360,787,12,4,4,359,792,16,6,4,364,792,76,22,4,362,787
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1049.01,5876368,0.525427,66.18698,1.1461,0.000356,KOI,14.797,0.5,2,4.355,2.571,1,5,24,8,4,671,109,40,12,4,675,108,64,18,4,676,105,48,14,4,671,105
4279.01,5876360,1.05086,65.1308,1.12,0.003698,KOI,17.172,2,-1,0.674,2.803,1,5,24,8,4,672,108,40,12,4,675,107,64,18,4,676,104,48,14,4,671,104
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1049.01,5876368,0.525427,66.18698,1.1461,0.000356,KOI,14.797,0.5,-64,4.388,2.787,1,5,24,8,4,671,109,40,12,4,675,108,64,18,4,676,105,48,14,4,671,105
005876360-pri,5876360,1.050847,99.817075,1.3594,0.0145,KEB,17.172,2,32,0.674,2.984,1,5,24,8,4,672,108,40,12,4,675,107,64,18,4,676,104,48,14,4,671,104
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1038.01,6153201,0.5303,287.98475,2.723,0.003085,KOI,15.435,1,354,4.92,2.959,1,9.3,11,4,3,992,158,15,6,3,998,158,75,22,3,994,163,71,20,3,994,163
006153219-pri,6153219,0.5303,100.260023,1.9613,0.1305,KEB,17.089,1,-354,4.92,2.991,1,9.3,11,4,3,992,156,15,6,3,997,156,75,22,3,994,161,71,20,3,993,161
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
