,tic_id,RA,Dec,Tmag,Period,Epoc,Transit_Depth,Duration,Sectors,Camera,CCD,star_rad,star_mass,teff,logg,SN,Qingress
1,22376838,283.67819711,30.0467220105,12.9927,11.310195,1693.893186,0.00847,0.61900697235,14,1,2,2.38333,0.93,5359.0,3.65218,30.42682,0.17965
4,70239052,283.760405281,30.9468639685,10.8564,2.882331,1685.164182,0.3585,0.19360617327,14,1,2,10.0209,,4764.0,,119.58084,0.41292
28,41495596,283.890925058,35.6272028092,13.271,0.651405,1684.225651,0.00116,0.11198303355000001,14,1,2,3.89228,,5163.0,,10.31673,-0.01139
41,120504050,283.842357156,32.3698507787,11.5351,0.361128,1683.686478,0.01067,0.07710805056,14,1,2,5.91292,,5199.0,,25.99187,-0.07527
45,137495807,283.857892913,31.4107851992,13.1999,11.596855,1694.16425,0.0033,0.10634316035,14,1,2,,,,,11.24717,0.25599
58,284684796,283.999531137,31.8871223092,12.9599,0.175017,1683.691338,0.00708,0.028639781880000003,14,1,2,1.67152,1.13,6070.0,4.04492,10.69396,0.14076
59,29712976,283.950975841,31.981496086,13.0514,0.511822,1683.681902,0.01486,0.12054943566,14,1,2,0.735343,0.727,4597.0,4.56662,15.3365,0.02366
63,41877155,284.032772628,33.0881325205,10.3614,0.913211,1683.655569,0.00726,0.12548432351,14,1,2,1.41856,1.421,6699.0,4.28696,24.94775,0.52592
86,239471909,284.221063414,34.3978775895,12.8694,13.997118,1691.004618,0.14415,0.22409385918,14,1,2,0.827296,0.831,5010.0,4.52235,26.78116,0.20609
97,138360701,284.4327688,33.9565566015,12.803,11.419321,1694.149005,0.01539,0.09786358096999999,14,1,2,4.2997,,5124.0,,9.96413,0.24838
107,72138119,284.423694968,31.9493561736,13.4402,0.366683,1683.762101,0.00105,0.041977869839999994,14,1,2,1.40587,1.06,5877.0,4.16748,9.56833,0.18964
120,137553270,284.600392543,30.3395235535,13.2049,7.031395,1683.895989,0.03058,0.06025905515,14,1,2,0.733949,0.686,4385.0,4.54306,16.05874,0.13012
126,20911419,284.565878124,32.1922585517,12.5279,0.354878,1683.922209,0.00936,0.10012527892,14,1,2,1.6194,1.13,6056.0,4.07244,32.22819,0.61863
129,350940029,284.527127867,32.6643666439,12.94,13.997136,1691.007479,0.00705,0.22381420464,14,1,2,1.09835,1.08,5922.0,4.39001,15.9982,0.207
131,198731468,284.624138239,32.9772710835,10.5082,11.209791,1694.147404,0.04722,0.11490035775,14,1,2,34.8125,,3975.0,,21.37323,0.20592
137,24367536,284.598256823,33.7876194141,11.9227,0.368072,1683.890751,0.01014,0.0620937464,14,1,2,10.9575,,4796.0,,11.63191,0.06405
138,121609069,284.609001023,33.8617940418,13.1576,0.399322,1683.684644,0.00606,0.061299920220000005,14,1,2,1.11013,1.07,5885.0,4.3767,20.84069,0.1041
145,394552613,284.583999883,34.6306832668,11.8914,0.700711,1683.767336,0.16754,0.07463272860999999,14,1,2,1.28464,1.25,6319.0,4.31741,22.11951,0.3183
149,21070451,284.690125372,35.7603926016,13.2352,0.629878,1683.716777,0.00101,0.10379759562,14,1,2,19.8243,,4387.0,,12.76752,0.03612
154,42061618,284.739367811,34.7976492175,9.1181,0.368072,1683.73533,0.12691,0.06736821816,14,1,2,11.6899,,4859.0,,25.40594,0.06363
156,30870074,284.639847624,34.0525480403,11.1477,0.392378,1683.653304,0.0089,0.0729430702,14,1,2,2.23308,1.6,7178.0,3.94438,11.76345,-0.00772
166,451810286,284.770948568,31.9113742561,13.2397,0.777794,1683.947052,0.0196,0.17303583118,14,1,2,1.4259,1.28,6397.0,4.2371,33.04443,0.4308
169,138488109,284.693373545,31.4708917369,13.449,0.590294,1683.984535,0.00261,0.10700259337999998,14,1,2,1.41152,1.11,6006.0,4.18401,19.49666,-0.0287
173,22371772,284.646908356,30.9396399544,12.1151,2.959598,1685.904236,0.05454,0.19358730518,14,1,2,3.17282,,5074.0,,49.69436,0.34315
220,71524983,285.032579305,33.4890554853,12.3531,11.57436,1693.999963,0.14279,0.2866968972,14,1,2,1.27546,1.21,6243.0,4.30952,43.78381,0.3026
228,237195563,284.965265577,31.4733188943,12.9721,11.404916,1694.140272,0.02066,0.17700429632,14,1,2,12.7049,,4792.0,,10.2025,0.14041
