Type,FPKOI,FPKIC,Name,KIC,PRatio,Dist,DelRow,DelCol,m2mag,DelMag,DRatio,Flag
Direct PRF,2884.01,9652649,009652632-sec,9652632,1:2,31.7,4,7,11.58,2.53,2.13E+03,0
Direct PRF,2888.01,12023078,012023089-pri,12023089,1:1,9.8,1,-2,15.63,-2.98,1.88E+02,0
Direct PRF,2889.01,6364162,TT-Lyr-pri,6364290,1:1,149.6,-36,-12,9.49,5.67,6.62E+03,0
Direct PRF,2891.01,10068024,529.01,10068030,1:1,5.8,2,1,14.98,-1.85,1.85E+01,0
Direct PRF,2892.01,9636563,3618.01,9636559,1:1,10.2,-2,-1,17.04,-1.94,8.73E+02,0
Direct PRF,2895.01,5475641,005475624-pri,5475624,1:1,13.1,-3,-2,15.55,-1.25,3.61E+02,0
Direct PRF,2911.01,5471202,V380-Cyg-pri,5385723,1:1,179.6,23,-38,5.77,9.09,1.45E+03,0
Direct PRF,2917.01,3228945,V404-Lyr-pri,3228863,1:1,84.3,-7,21,11.82,3.21,2.79E+03,0
Direct PRF,2928.01,3230753,003230787-pri,3230787,1:1,23.4,-1,-6,12.55,2.07,6.99E+02,0
Direct PRF,2929.01,8358012,008358008-pri,8358008,1:1,10.9,3,0,14.67,0.22,3.10E+01,0
Direct PRF,2932.01,3861611,4.01,3861595,1:1,11.7,-1,3,11.43,4.42,2.22E+00,0
Direct PRF,2941.01,9532424,3710.01,9532421,1:1,9.4,1,3,16.77,-2.21,1.94E+02,0
Direct PRF,2944.01,6781548,006781535-pri,6781535,1:1,15.4,3,-1,13.67,2.01,6.13E+01,0
Direct PRF,2952.01,8243283,008243263-pri,8243263,1:2,16.1,3,2,12.98,2.24,1.86E+02,0
Direct PRF,2953.01,6778019,006778050-pri,6778050,1:2,21.1,0,-5,14.51,0.25,3.04E+03,0
Direct PRF,2965.01,8429415,008429450-pri,8429450,1:2,28.6,7,-1,13.11,-0.4,6.29E+03,0
Direct PRF,2969.01,8560804,008560861-pri,8560861,1:1,73.8,18,-5,8.5,4.07,6.74E+02,0
Direct PRF,2978.01,10686814,T-Cyg1-01215-pri,10686876,1:1,56.1,14,-3,11.73,3.87,7.39E+02,0
Direct PRF,2986.01,4568298,V1130-Cyg-pri,4660997,1:1,99,25,3,12.32,3.63,2.70E+03,0
Direct PRF,2991.01,4848424,3560.01,4848423,1:1,83.1,-18,-11,11.82,2.94,3.46E+03,0
Direct PRF,3006.01,8758136,008758161-pri,8758161,1:1,34.5,0,8,12.46,3.09,6.44E+02,0
Direct PRF,3011.01,3328052,003327980-pri,3327980,1:2,64.2,-10,-12,12.12,3.42,1.29E+03,0
Direct PRF,3036.01,5217891,005217733-pri,5217733,1:1,98.9,-18,-17,7.39,8.26,8.51E+01,0
