tic_id,disp_E,disp_N,disp_J,disp_S,disp_B,maxcount
360139152,0,0,10,0,0,10
380721231,10,0,0,0,0,10
84111634,0,0,10,0,0,10
198998454,10,0,0,0,0,10
185600957,10,0,0,0,0,10
102851081,10,0,0,0,0,10
105404056,0,0,10,0,0,10
172559083,0,0,10,0,0,10
171976674,0,0,10,0,0,10
43306293,5,0,5,0,0,5
84490080,2,0,0,0,8,8
230663927,0,0,10,0,0,10
1964868976,8,0,2,0,0,8
378829059,0,0,0,0,10,10
136324649,10,0,0,0,0,10
87323240,0,0,8,0,2,8
202569413,10,0,0,0,0,10
85709538,0,0,2,0,8,8
328521572,10,0,0,0,0,10
41452056,0,0,9,1,0,9
170069761,10,0,0,0,0,10
105514947,10,0,0,0,0,10
170448091,10,0,0,0,0,10
184419083,0,0,10,0,0,10
136528860,10,0,0,0,0,10
103874371,0,0,10,0,0,10
40965495,0,0,10,0,0,10
172559306,10,0,0,0,0,10
313012368,3,0,7,0,0,7
100231485,0,0,10,0,0,10
92776377,10,0,0,0,0,10
91452594,0,0,10,0,0,10
41066284,2,0,6,2,0,6
313019700,0,0,10,0,0,10
87314260,2,0,2,6,0,6
15248297,10,0,0,0,0,10
280166692,0,0,10,0,0,10
15779585,0,0,10,0,0,10
169822598,0,0,10,0,0,10
274762528,0,0,0,0,10,10
41454608,2,0,2,6,0,6
103621141,10,0,0,0,0,10
58454273,0,0,10,0,0,10
84729571,0,0,10,0,0,10
41695268,10,0,0,0,0,10
199115064,0,0,9,0,1,9
186224637,0,0,10,0,0,10
58551537,10,0,0,0,0,10
42006344,10,0,0,0,0,10
90243132,10,0,0,0,0,10
170441508,9,0,1,0,0,9
40473819,0,0,10,0,0,10
64929726,10,0,0,0,0,10
15127886,10,0,0,0,0,10
100159066,8,0,2,0,0,8
87188915,0,0,4,0,6,6
170647420,10,0,0,0,0,10
427750670,10,0,0,0,0,10
43065925,0,0,9,0,1,9
360029257,0,0,0,0,10,10
92425101,9,0,1,0,0,9
102855741,0,0,10,0,0,10
202559533,0,0,0,0,10,10
43306705,10,0,0,0,0,10
13781880,10,0,0,0,0,10
104676951,10,0,0,0,0,10
12912875,0,0,10,0,0,10
83299119,10,0,0,0,0,10
12920495,0,0,10,0,0,10
312894030,10,0,0,0,0,10
91935597,0,0,10,0,0,10
360137938,10,0,0,0,0,10
40366589,1,0,9,0,0,9
89276646,0,0,4,0,6,6
57398894,0,0,10,0,0,10
64320229,10,0,0,0,0,10
15077186,10,0,0,0,0,10
169647315,0,0,10,0,0,10
16847955,0,0,1,0,9,9
41452942,0,0,10,0,0,10
13009612,9,0,1,0,0,9
356159205,1,0,9,0,0,9
87186470,0,0,0,0,10,10
230501841,0,0,10,0,0,10
381125670,10,0,0,0,0,10
172380746,10,0,0,0,0,10
171779984,10,0,0,0,0,10
168814869,10,0,0,0,0,10
64310016,10,0,0,0,0,10
171015746,0,0,10,0,0,10
172435079,10,0,0,0,0,10
274348473,0,0,10,0,0,10
103358401,10,0,0,0,0,10
170832761,10,0,0,0,0,10
274628953,10,0,0,0,0,10
170443345,0,0,10,0,0,10
188647250,10,0,0,0,0,10
274761347,0,0,10,0,0,10
83403434,10,0,0,0,0,10
378903982,10,0,0,0,0,10
193890949,10,0,0,0,0,10
12992670,10,0,0,0,0,10
87803771,10,0,0,0,0,10
405944129,0,0,10,0,0,10
172067539,10,0,0,0,0,10
64638498,0,0,0,0,10,10
138725380,0,0,10,0,0,10
173072738,0,0,10,0,0,10
87195961,10,0,0,0,0,10
89757440,10,0,0,0,0,10
43069092,0,0,0,0,10,10
40212690,0,0,0,0,10,10
103495595,10,0,0,0,0,10
40379698,10,0,0,0,0,10
65231398,0,0,10,0,0,10
102152437,0,0,0,0,10,10
136787561,10,0,0,0,0,10
40735974,10,0,0,0,0,10
91452570,0,0,0,0,10,10
58448028,0,0,10,0,0,10
100401195,0,0,10,0,0,10
83214093,0,0,10,0,0,10
193888475,0,0,0,0,10,10
43782199,10,0,0,0,0,10
42835987,10,0,0,0,0,10
40363945,0,0,10,0,0,10
64152797,0,0,10,0,0,10
355899540,0,0,0,0,10,10
274342549,10,0,0,0,0,10
355753237,10,0,0,0,0,10
91818811,7,0,3,0,0,7
161871848,10,0,0,0,0,10
103356774,10,0,0,0,0,10
102223485,10,0,0,0,0,10
15795609,0,0,10,0,0,10
102855834,4,0,0,0,6,6
273629505,10,0,0,0,0,10
12261073,3,0,5,2,0,5
83296091,0,0,10,0,0,10
312366523,10,0,0,0,0,10
16311967,0,0,10,0,0,10
40967799,4,0,6,0,0,6
86307470,0,0,0,0,10,10
105014909,10,0,0,0,0,10
42363678,10,0,0,0,0,10
406134279,0,0,10,0,0,10
42120764,1,0,0,0,9,9
313015817,10,0,0,0,0,10
91942247,0,0,10,0,0,10
40470631,10,0,0,0,0,10
184210310,10,0,0,0,0,10
41688764,0,0,0,0,10,10
89887045,10,0,0,0,0,10
171660894,10,0,0,0,0,10
40835236,0,0,0,0,10,10
16741221,8,0,0,0,2,8
43650870,0,0,1,0,9,9
171874081,4,0,2,0,4,4
15255191,0,0,10,0,0,10
202685364,9,0,1,0,0,9
57399454,0,0,10,0,0,10
87926556,1,0,3,6,0,6
41439562,0,0,10,0,0,10
1967692479,0,0,10,0,0,10
105010236,0,0,10,0,0,10
41682551,0,0,10,0,0,10
168923558,10,0,0,0,0,10
239220923,10,0,0,0,0,10
273629575,10,0,0,0,0,10
171102486,0,0,0,0,10,10
328674430,0,0,0,0,10,10
378490157,10,0,0,0,0,10
59024362,10,0,0,0,0,10
356043216,0,0,10,0,0,10
86833203,10,0,0,0,0,10
41916289,0,0,10,0,0,10
312245589,10,0,0,0,0,10
14104236,10,0,0,0,0,10
312487231,0,0,10,0,0,10
380636442,10,0,0,0,0,10
378828681,10,0,0,0,0,10
13125585,0,0,10,0,0,10
43894816,10,0,0,0,0,10
12504476,10,0,0,0,0,10
42256323,10,0,0,0,0,10
171874348,10,0,0,0,0,10
104334680,10,0,0,0,0,10
84619699,0,0,0,0,10,10
172073048,0,0,0,0,10,10
172560937,0,0,10,0,0,10
43895510,0,0,0,0,10,10
103003723,0,0,10,0,0,10
99493562,0,0,0,0,10,10
102721813,10,0,0,0,0,10
92785236,0,0,0,0,10,10
43410005,9,0,1,0,0,9
83640720,0,0,10,0,0,10
41326946,10,0,0,0,0,10
86191871,0,0,0,0,10,10
59257942,0,0,8,2,0,8
230407121,0,0,10,0,0,10
172681117,10,0,0,0,0,10
406292846,10,0,0,0,0,10
274630522,0,0,10,0,0,10
172439828,1,0,0,0,9,9
86707727,10,0,0,0,0,10
199122570,0,0,0,0,10,10
59252733,0,0,10,0,0,10
82711122,10,0,0,0,0,10
15074930,10,0,0,0,0,10
99317000,10,0,0,0,0,10
169080664,0,0,10,0,0,10
59646806,10,0,0,0,0,10
83308642,0,0,10,0,0,10
104214513,0,0,10,0,0,10
1968903312,0,0,10,0,0,10
43066577,0,0,10,0,0,10
275950689,10,0,0,0,0,10
135627603,0,0,10,0,0,10
381194006,5,0,5,0,0,5
83196471,10,0,0,0,0,10
15994830,10,0,0,0,0,10
103999003,10,0,0,0,0,10
171657691,0,0,10,0,0,10
84738251,10,0,0,0,0,10
12801840,10,0,0,0,0,10
15475591,0,0,10,0,0,10
12583494,10,0,0,0,0,10
1964682922,0,0,0,0,10,10
12575137,0,0,10,0,0,10
15779554,0,0,10,0,0,10
41319469,0,0,10,0,0,10
169936328,10,0,0,0,0,10
16399295,10,0,0,0,0,10
184519775,10,0,0,0,0,10
57871983,0,0,10,0,0,10
184555463,0,0,0,0,10,10
172432176,0,0,10,0,0,10
172757312,10,0,0,0,0,10
89507445,10,0,0,0,0,10
274347000,0,0,0,0,10,10
239298090,0,0,10,0,0,10
202563019,0,0,0,0,10,10
139100638,0,0,10,0,0,10
171596075,10,0,0,0,0,10
102991707,0,0,10,0,0,10
427742107,0,0,2,0,8,8
274761345,0,0,10,0,0,10
416878932,10,0,0,0,0,10
171511903,1,0,9,0,0,9
17025262,0,0,10,0,0,10
91944771,9,0,1,0,0,9
380286450,10,0,0,0,0,10
311954696,10,0,0,0,0,10
169459936,0,0,10,0,0,10
11794083,0,0,10,0,0,10
427979699,10,0,0,0,0,10
64634781,0,0,6,0,4,6
92645051,0,0,10,0,0,10
104083868,8,0,2,0,0,8
43892595,0,0,10,0,0,10
313409624,0,0,0,0,10,10
276171152,0,0,10,0,0,10
83202525,10,0,0,0,0,10
89757017,10,0,0,0,0,10
82830390,10,0,0,0,0,10
105519278,10,0,0,0,0,10
12145765,0,0,10,0,0,10
11117433,8,0,2,0,0,8
199429332,4,0,0,0,6,6
43583208,0,0,10,0,0,10
14531926,10,0,0,0,0,10
185294778,0,0,9,1,0,9
15073770,7,0,3,0,0,7
104790376,0,0,10,0,0,10
90964634,0,0,10,0,0,10
40963624,0,0,9,1,0,9
84487569,0,0,10,0,0,10
14633369,7,0,0,3,0,7
40623352,0,0,10,0,0,10
185451556,0,0,10,0,0,10
199382555,0,0,10,0,0,10
41063336,0,0,10,0,0,10
83294915,10,0,0,0,0,10
1870749819,0,0,10,0,0,10
230439190,0,0,0,0,10,10
172264303,0,0,0,0,10,10
171410146,0,0,0,0,10,10
90349599,10,0,0,0,0,10
10982925,1,0,0,0,9,9
87183180,0,0,10,0,0,10
72393863,10,0,0,0,0,10
161562970,10,0,0,0,0,10
15391024,0,0,0,0,10,10
57400857,5,0,4,1,0,5
92784677,10,0,0,0,0,10
169738643,0,0,0,0,10,10
172763528,0,0,0,0,10,10
84254691,0,0,0,0,10,10
40620868,1,0,9,0,0,9
64799976,10,0,0,0,0,10
100231852,10,0,0,0,0,10
65613987,1,0,9,0,0,9
355746219,0,0,10,0,0,10
1868898123,10,0,0,0,0,10
41776423,3,0,6,1,0,6
42007803,0,0,10,0,0,10
170441995,10,0,0,0,0,10
185297530,0,0,10,0,0,10
230500166,0,0,10,0,0,10
381125090,0,0,0,0,10,10
83296215,2,0,0,0,8,8
92311850,0,0,10,0,0,10
184370243,2,0,0,0,8,8
103497950,10,0,0,0,0,10
356044812,10,0,0,0,0,10
40470829,0,0,10,0,0,10
16305942,0,0,0,0,10,10
14320607,10,0,0,0,0,10
1969292765,0,0,10,0,0,10
240186542,0,0,10,0,0,10
42596803,0,0,10,0,0,10
104524727,0,0,10,0,0,10
230508553,0,0,10,0,0,10
42490696,0,0,10,0,0,10
41552346,0,0,10,0,0,10
42832402,0,0,0,0,10,10
184556161,10,0,0,0,0,10
202685020,0,0,0,0,10,10
82718737,0,0,0,0,10,10
406206053,0,0,0,0,10,10
89644341,0,0,10,0,0,10
12917577,10,0,0,0,0,10
11112153,0,0,10,0,0,10
172870584,0,0,0,0,10,10
84378232,6,0,0,0,4,6
16412812,10,0,0,0,0,10
64929101,10,0,0,0,0,10
161865602,10,0,0,0,0,10
43195853,10,0,0,0,0,10
63737391,0,0,10,0,0,10
12674564,0,0,10,0,0,10
64319757,0,0,10,0,0,10
328681588,10,0,0,0,0,10
43306396,0,0,10,0,0,10
16317477,10,0,0,0,0,10
312373879,5,0,0,0,5,5
185294136,10,0,0,0,0,10
103237405,0,0,6,0,4,6
43891263,0,0,0,0,10,10
10991837,10,0,0,0,0,10
91114621,10,0,0,0,0,10
91565580,10,0,0,0,0,10
102373633,7,0,3,0,0,7
89641774,0,0,0,0,10,10
43442054,10,0,0,0,0,10
136040391,10,0,0,0,0,10
184009623,0,0,10,0,0,10
169189544,0,0,8,0,2,8
136545925,0,0,10,0,0,10
41903376,10,0,0,0,0,10
17252463,0,0,2,0,8,8
89886855,10,0,0,0,0,10
40835452,0,0,10,0,0,10
1869343906,10,0,0,0,0,10
139098438,10,0,0,0,0,10
16843995,0,0,10,0,0,10
13118738,0,0,10,0,0,10
41677845,0,0,10,0,0,10
11480142,10,0,0,0,0,10
13420687,0,0,10,0,0,10
86441241,0,0,10,0,0,10
170344180,0,0,10,0,0,10
40953488,0,0,10,0,0,10
12806053,10,0,0,0,0,10
103497088,10,0,0,0,0,10
58547289,0,0,0,0,10,10
102506915,0,0,0,0,10,10
84723891,0,0,0,0,10,10
168910958,0,0,10,0,0,10
184243615,0,0,9,0,1,9
312628569,0,0,10,0,0,10
40845953,0,0,10,0,0,10
41546846,10,0,0,0,0,10
87306270,0,0,10,0,0,10
171021525,0,0,0,0,10,10
105019045,0,0,0,0,10,10
103116636,10,0,0,0,0,10
89513031,0,0,10,0,0,10
65531882,0,0,1,0,9,9
169822387,0,0,0,0,10,10
14216511,10,0,0,0,0,10
171779391,0,0,10,0,0,10
171972397,0,0,0,0,10,10
188266637,0,0,10,0,0,10
