tic_id,disp_E,disp_N,disp_J,disp_S,disp_B,maxcount
10002224589,0,0,10,0,0,10
10000765499,10,0,0,0,0,10
137902018,5,0,0,5,0,5
137902124,0,0,0,0,10,10
137902327,0,0,0,0,10,10
137902413,0,0,10,0,0,10
10000900301,10,0,0,0,0,10
138097640,0,0,10,0,0,10
10002576577,0,0,10,0,0,10
137901886,0,0,10,0,0,10
138098461,0,0,10,0,0,10
138098498,0,0,0,0,10,10
138220028,10,0,0,0,0,10
138221450,0,0,10,0,0,10
138221465,0,0,9,0,1,9
138221816,0,0,10,0,0,10
138296341,0,0,10,0,0,10
138429730,0,0,0,0,10,10
138429773,0,0,0,0,10,10
138430234,0,0,10,0,0,10
138430381,10,0,0,0,0,10
138430438,10,0,0,0,0,10
138430445,10,0,0,0,0,10
138430485,10,0,0,0,0,10
138430541,0,0,0,0,10,10
138431673,10,0,0,0,0,10
138431696,0,0,10,0,0,10
138431700,10,0,0,0,0,10
138431721,10,0,0,0,0,10
138431923,10,0,0,0,0,10
138432150,10,0,0,0,0,10
138635562,0,0,10,0,0,10
138636097,10,0,0,0,0,10
138636447,0,0,0,0,10,10
138636502,0,0,1,0,9,9
138636700,0,0,0,0,10,10
138636710,0,0,0,0,10,10
138636929,9,0,1,0,0,9
138637622,0,0,0,0,10,10
138637911,0,0,0,0,10,10
138638594,0,0,10,0,0,10
138638635,8,0,2,0,0,8
138638657,0,0,0,0,10,10
138638694,6,0,4,0,0,6
138638792,10,0,0,0,0,10
138638797,10,0,0,0,0,10
138638854,10,0,0,0,0,10
138638902,10,0,0,0,0,10
138638948,10,0,0,0,0,10
138639088,0,0,10,0,0,10
138639116,0,0,0,0,10,10
138639226,10,0,0,0,0,10
138639253,10,0,0,0,0,10
138639275,10,0,0,0,0,10
138639282,10,0,0,0,0,10
138639474,5,0,5,0,0,5
138639548,10,0,0,0,0,10
138639550,0,0,10,0,0,10
138639974,0,0,0,0,10,10
138722957,0,0,0,0,10,10
138722958,10,0,0,0,0,10
138723554,0,0,9,0,1,9
138723576,7,0,0,0,3,7
138723580,3,1,6,0,0,6
138723582,0,0,0,0,10,10
138723591,4,0,0,0,6,6
138724307,0,0,10,0,0,10
138724368,10,0,0,0,0,10
138724388,10,0,0,0,0,10
138725380,0,0,10,0,0,10
138725390,0,0,10,0,0,10
138725406,0,0,10,0,0,10
138726026,0,0,0,0,10,10
138726428,0,0,0,0,10,10
138726506,10,0,0,0,0,10
138961350,0,0,10,0,0,10
138962751,8,0,2,0,0,8
138963118,0,0,10,0,0,10
138963724,0,0,10,0,0,10
138963771,0,0,10,0,0,10
138964255,0,0,10,0,0,10
138966644,0,0,10,0,0,10
138966668,0,0,10,0,0,10
138966673,0,0,10,0,0,10
138966686,0,0,8,0,2,8
138966713,0,0,9,0,1,9
138967091,0,0,0,0,10,10
138967876,10,0,0,0,0,10
138967906,10,0,0,0,0,10
138967920,10,0,0,0,0,10
138968197,0,0,10,0,0,10
138968207,0,0,10,0,0,10
138968231,0,0,10,0,0,10
138968823,0,0,0,0,10,10
138968975,0,0,10,0,0,10
138969635,9,0,1,0,0,9
138969985,0,0,10,0,0,10
138970059,0,0,10,0,0,10
139109347,1,0,9,0,0,9
139153855,10,0,0,0,0,10
139153978,0,0,10,0,0,10
139153982,0,0,10,0,0,10
139154041,0,0,10,0,0,10
139154361,0,0,0,0,10,10
139154376,0,0,0,0,10,10
139154396,0,0,0,0,10,10
